"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Pocillopora_acuta_HIv2___RNAseq.g9588.t1",10129.8808156182,13.0019191016704,2.91590220652265,2.00134716188456e-17,1.92983235663322e-14
"Pocillopora_acuta_HIv2___TS.g30765.t1",1392.70364464146,16.3447572672383,3.808687268642,2.47296594860725e-17,2.23556121754095e-14
"Pocillopora_acuta_HIv2___RNAseq.g14021.t1",1390.28685695327,-15.7443142449091,3.85317968897274,3.14334412869647e-17,2.67443114573328e-14
"Pocillopora_acuta_HIv2___RNAseq.g19082.t1",922.112612153853,15.7395547637585,3.70510611812623,5.04384729981954e-17,4.05301151914388e-14
"Pocillopora_acuta_HIv2___RNAseq.g16202.t1",815.958547797283,11.1351661499446,1.74229028294792,8.59803763403281e-17,6.54536928098161e-14
"Pocillopora_acuta_HIv2___TS.g19991.t2",950.24838269187,15.7390170080056,3.72381145082728,1.16154262090862e-16,8.40027623441111e-14
"Pocillopora_acuta_HIv2___RNAseq.g20860.t1",1265.2742161805,-15.5762447794186,3.87381005213862,1.35817273991792e-16,9.35457643341562e-14
"Pocillopora_acuta_HIv2___RNAseq.g8588.t1",783.119333561871,15.4774117514434,3.69354649654503,2.1885385592233e-16,1.4388646236639e-13
"Pocillopora_acuta_HIv2___RNAseq.g26604.t1",3789.9648726559,12.3051226485787,2.53307530500509,2.56133736309491e-16,1.61074711390456e-13
"Pocillopora_acuta_HIv2___TS.g27642.t1b",1146.75164624353,-15.3843570120627,3.83971613666391,2.74253155561419e-16,1.61468300522664e-13
"Pocillopora_acuta_HIv2___TS.g18100.t1",8027.26641448667,10.6171988851986,1.87638081121758,2.79086526069316e-16,1.61468300522664e-13
"Pocillopora_acuta_HIv2___RNAseq.g11588.t1",1254.25173047322,-15.469932546892,3.89023968603927,3.01703841895413e-16,1.67840168045202e-13
"Pocillopora_acuta_HIv2___RNAseq.g25327.t1",1008.53047685861,-11.8549816909237,1.97447472988843,3.84323193459402e-16,2.05883358155437e-13
"Pocillopora_acuta_HIv2___RNAseq.g12281.t1",740.060962879886,15.4019456164106,3.72097169074912,4.02937286536835e-16,2.08145889731028e-13
"Pocillopora_acuta_HIv2___RNAseq.g19284.t1",5809.18872335367,15.6933047902911,3.62338708238238,4.59102687020512e-16,2.22136975987628e-13
"Pocillopora_acuta_HIv2___RNAseq.g19085.t1",6069.90203768671,11.1262619222483,2.10206430008889,4.60737643779649e-16,2.22136975987628e-13
"Pocillopora_acuta_HIv2___TS.g11360.t1",727.48293499131,11.3112024038479,1.8330688300474,4.91236509061848e-16,2.29201447324857e-13
"Pocillopora_acuta_HIv2___RNAseq.g7803.t1",953.479854409614,-15.1821578716683,3.81260026185779,5.71596077420107e-16,2.58361426993888e-13
"Pocillopora_acuta_HIv2___TS.g16008.t2",945.362231842888,-15.1356859484098,3.79729136071263,6.03941744421958e-16,2.64709496706642e-13
"Pocillopora_acuta_HIv2___RNAseq.g22978.t3b",946.258537376439,-15.1544248513236,3.81404896405488,7.35025252136767e-16,3.12688389614888e-13
"Pocillopora_acuta_HIv2___RNAseq.g2406.t1",916.583525243243,-15.1306366530819,3.8160619113183,8.13180945089343e-16,3.36052833993493e-13
"Pocillopora_acuta_HIv2___RNAseq.g8119.t1",933.904971969952,-15.1807514961005,3.83576795349168,8.57027665474249e-16,3.4433467092832e-13
"Pocillopora_acuta_HIv2___TS.g9414.t1",1170.47134434928,-15.5409237826126,3.97771318321191,9.66668695888134e-16,3.7788908154935e-13
"Pocillopora_acuta_HIv2___RNAseq.g21374.t1",755.981336839023,-10.2047254544063,1.62040625462424,1.62837451905766e-15,6.19810764306579e-13
"Pocillopora_acuta_HIv2___RNAseq.g21000.t1",1227.75708253182,-15.5945081095569,3.96312308550262,1.74185854461341e-15,6.46006204853549e-13
"Pocillopora_acuta_HIv2___RNAseq.g5252.t1",685.237729174062,-11.5318852975235,1.9170361589673,1.84758072463929e-15,6.68085190029568e-13
"Pocillopora_acuta_HIv2___RNAseq.g22853.t1",8612.30390232864,-11.1329395094568,2.15130412143086,1.90463638942761e-15,6.71918554553194e-13
"Pocillopora_acuta_HIv2___RNAseq.g17117.t1",1037.72978148286,-15.1578340732747,3.85908239308401,2.19017378789878e-15,7.5425413495638e-13
"Pocillopora_acuta_HIv2___TS.g16802.t1",3444.71837581509,-10.702983682202,1.99183384484988,2.39520082733039e-15,7.88997484648191e-13
"Pocillopora_acuta_HIv2___RNAseq.g25759.t1",808.98861100082,-14.8945926812404,3.7939344096762,2.4001582774143e-15,7.88997484648191e-13
"Pocillopora_acuta_HIv2___RNAseq.30415_t",893.176357470135,-15.148462202611,3.88439129294786,3.09935081362618e-15,9.89043404792277e-13
"Pocillopora_acuta_HIv2___RNAseq.g24120.t1",770.649944734318,-14.8749741766171,3.80361623354068,3.14546436811703e-15,9.89043404792277e-13
"Pocillopora_acuta_HIv2___RNAseq.g14336.t1",765.622505305614,-14.8579821184395,3.79621481932773,3.9757494598744e-15,1.22351574867284e-12
"Pocillopora_acuta_HIv2___RNAseq.g26594.t2",3371.39523172936,-13.8764425262908,3.29865226748552,4.81724214272584e-15,1.45159563234139e-12
"Pocillopora_acuta_HIv2___TS.g4983.t1",908.847886315208,15.6677967510494,3.87045338510715,6.21386496493688e-15,1.81798846211254e-12
"Pocillopora_acuta_HIv2___RNAseq.g19115.t1",990.626313025877,-10.4520572556705,1.82367707565553,6.28452869922753e-15,1.81798846211254e-12
"Pocillopora_acuta_HIv2___RNAseq.g28635.t1",3721.66147975373,-13.7972964429815,3.41135913226953,7.81342502211448e-15,2.18881323180038e-12
"Pocillopora_acuta_HIv2___RNAseq.g25317.t1",2252.95465312817,-10.9676173805541,2.31449224908582,7.98166710201168e-15,2.18881323180038e-12
"Pocillopora_acuta_HIv2___RNAseq.g21373.t1",662.832864169878,-14.6187376324338,3.75855430508957,8.02040246718888e-15,2.18881323180038e-12
"Pocillopora_acuta_HIv2___RNAseq.g7627.t1",764.189970591372,-14.7549733644976,3.8071151275467,8.43939554084302e-15,2.26050772412506e-12
"Pocillopora_acuta_HIv2___RNAseq.g9210.t1",701.432652665035,-14.5150882814002,3.77441461477541,1.70601859986871e-14,4.48651873245474e-12
"Pocillopora_acuta_HIv2___TS.g16384.t1",645.704218748475,-14.597407486702,3.79876994127786,1.93746938786418e-14,5.00420664751206e-12
"Pocillopora_acuta_HIv2___RNAseq.g27377.t1",735.340145124758,-10.2369611762376,1.77616837146609,2.13977424489661e-14,5.42977099617274e-12
"Pocillopora_acuta_HIv2___RNAseq.g13561.t1",640.62448814426,-14.5819947482726,3.80007930414758,2.26061512641272e-14,5.52042902721053e-12
"Pocillopora_acuta_HIv2___RNAseq.g1102.t1",682.410091221503,-14.6756717638656,3.81713150720421,2.27847788188045e-14,5.52042902721053e-12
"Pocillopora_acuta_HIv2___RNAseq.g1234.t1",3320.09020492918,10.0171634875765,2.07233082802673,2.32585774438569e-14,5.52042902721053e-12
"Pocillopora_acuta_HIv2___RNAseq.g9631.t1",5786.08667327334,-14.7559786027333,3.16630468922931,2.3281676621947e-14,5.52042902721053e-12
"Pocillopora_acuta_HIv2___RNAseq.g11659.t1",606.94528410354,-14.445619703054,3.78220724503087,2.65919490351125e-14,6.20364436844947e-12
"Pocillopora_acuta_HIv2___TS.g1968.t2",570.15481360313,-14.3835702680984,3.7681901076495,3.18874769711808e-14,7.32095979224061e-12
"Pocillopora_acuta_HIv2___RNAseq.g1126.t1",3758.53930256433,14.577479580893,3.15720134919936,3.83075246455207e-14,8.65750056988767e-12
"Pocillopora_acuta_HIv2___TS.g21863.t2",714.499186910933,-11.5870027321948,2.25751374220719,3.94089490801663e-14,8.76940060762347e-12
"Pocillopora_acuta_HIv2___RNAseq.g14484.t1",670.562029806778,-14.6560173518227,3.85701004467729,4.67052997982256e-14,1.02355372163869e-11
"Pocillopora_acuta_HIv2___RNAseq.g18517.t1",291.865888857358,-9.43443938335706,1.47306216688216,5.36788695969125e-14,1.15882264156678e-11
"Pocillopora_acuta_HIv2___RNAseq.g27621.t1",1470.664505119,12.6387842112942,2.73278931376677,6.34629424121559e-14,1.34989411624915e-11
"Pocillopora_acuta_HIv2___RNAseq.22067_t",613.52482329882,-14.2404359035937,3.77774670046543,6.53523008483041e-14,1.36993576734764e-11
"Pocillopora_acuta_HIv2___RNAseq.g27681.t1b",674.169731150683,-14.3970676973424,3.80580444195435,7.01436418883803e-14,1.44936805181933e-11
"Pocillopora_acuta_HIv2___RNAseq.g28202.t1",2285.1584368848,-1.33185387048075,3.13168219069175,7.84045235279133e-14,1.59724370184188e-11
"Pocillopora_acuta_HIv2___RNAseq.g8732.t1",507.240463637248,-14.1287231179556,3.72576372770363,8.63273773289516e-14,1.7342210912305e-11
"Pocillopora_acuta_HIv2___RNAseq.g11810.t1",633.244866387664,-14.3290763071153,3.7940189873671,1.06418184254019e-13,2.10853783157553e-11
"Pocillopora_acuta_HIv2___RNAseq.g13.t1",493.162696204997,-14.1602003045796,3.76373524842076,1.08601385746161e-13,2.12271681544928e-11
"Pocillopora_acuta_HIv2___RNAseq.g5007.t1",484.02351264286,-14.1056450633631,3.7340256785561,1.13066233479132e-13,2.18052000138956e-11
"Pocillopora_acuta_HIv2___RNAseq.g8062.t1",492.934930950537,14.7202756716912,3.75719718228173,1.16569193984677e-13,2.21469279001817e-11
"Pocillopora_acuta_HIv2___RNAseq.g13400.t1",533.223747836275,-14.2540822844437,3.7840255614052,1.17900542610204e-13,2.21469279001817e-11
"Pocillopora_acuta_HIv2___RNAseq.g7514.t1",496.362437442143,-14.0517875024612,3.72055294536458,1.3003102541927e-13,2.41124198931324e-11
"Pocillopora_acuta_HIv2___RNAseq.g9231.t1",1272.97552268526,11.0117940005048,2.78609057744648,1.3618788248631e-13,2.45286257768944e-11
"Pocillopora_acuta_HIv2___RNAseq.g23883.t2",638.102436356512,-11.7250240505602,2.3484647547529,1.36354119208896e-13,2.45286257768944e-11
"Pocillopora_acuta_HIv2___RNAseq.g3939.t1",610.379215541957,11.7790085799958,2.4299310525381,1.37363017694168e-13,2.45286257768944e-11
"Pocillopora_acuta_HIv2___RNAseq.g17085.t1",542.201890374515,-14.1797780798388,3.78198921087271,1.41414781709049e-13,2.49441878370694e-11
"Pocillopora_acuta_HIv2___RNAseq.g3222.t1",584.314671432432,-14.2009468649857,3.79712522027347,1.65827318450275e-13,2.87606450473232e-11
"Pocillopora_acuta_HIv2___RNAseq.g17946.t1",517.195459073916,-14.1220294897822,3.77762854309064,1.67028082409786e-13,2.87606450473232e-11
"Pocillopora_acuta_HIv2___RNAseq.g30104.t1",700.233000546774,-9.79009571358492,1.79067988538125,1.86999486437819e-13,3.18207126098425e-11
"Pocillopora_acuta_HIv2___TS.g22105.t1",586.4538651294,-14.3734995504236,3.83989640038306,2.00162902125169e-13,3.35763027942263e-11
"Pocillopora_acuta_HIv2___RNAseq.g21722.t1",389.219325198085,-9.91709445159811,1.69752878959648,2.01959232791599e-13,3.35763027942263e-11
"Pocillopora_acuta_HIv2___RNAseq.g14933.t1",451.503456323017,-13.9466582054296,3.70889974726077,2.15449816387758e-13,3.54121152753697e-11
"Pocillopora_acuta_HIv2___RNAseq.g16988.t1",376.1632002207,-11.045939477133,2.06633961222202,2.28780822840356e-13,3.71807395681225e-11
"Pocillopora_acuta_HIv2___RNAseq.g13796.t1",522.094512369359,-14.236553451972,3.79640614260079,2.43790164450495e-13,3.91797882067996e-11
"Pocillopora_acuta_HIv2___RNAseq.g10163.t1",764.295436626259,-10.2054239528787,2.03631919129867,2.65977400307671e-13,4.22757925060457e-11
"Pocillopora_acuta_HIv2___RNAseq.g12.t1",573.90599235064,-14.12627283886,3.79880139444409,2.91518071716223e-13,4.5592246999258e-11
"Pocillopora_acuta_HIv2___RNAseq.g18187.t1",361.132994907348,-7.55690668716606,1.18459732660842,2.93147052746888e-13,4.5592246999258e-11
"Pocillopora_acuta_HIv2___RNAseq.g11522.t1",426.990692656728,-9.3546930818631,1.6289678403035,2.99428537541553e-13,4.6073769861713e-11
"Pocillopora_acuta_HIv2___RNAseq.g31136.t1",426.941973838769,-13.8849300811396,3.72290471295654,3.15358008565253e-13,4.8014086693556e-11
"Pocillopora_acuta_HIv2___RNAseq.g7672.t1",429.596418846362,-13.8271196875411,3.69885970566175,3.2629030536595e-13,4.91610726751364e-11
"Pocillopora_acuta_HIv2___TS.g28528.t1b",5194.87777708238,9.85366553711642,2.89846206004629,3.68608725465176e-13,5.4964501083797e-11
"Pocillopora_acuta_HIv2___RNAseq.g2813.t4",1653.40829342614,-1.17478950131965,2.37215679583051,3.83425427511635e-13,5.65904630972275e-11
"Pocillopora_acuta_HIv2___TS.g10041.t1",413.393721368022,-13.7851723248721,3.69622808397694,4.15762262951048e-13,6.07432865790298e-11
"Pocillopora_acuta_HIv2___RNAseq.g18278.t1",406.840971288858,-13.7874890997872,3.70321016513173,4.39220348071786e-13,6.35288311451031e-11
"Pocillopora_acuta_HIv2___RNAseq.g13582.t1",398.602250368532,-13.7711609857448,3.69699448527012,4.6785181275562e-13,6.70000853435375e-11
"Pocillopora_acuta_HIv2___RNAseq.g14640.t1",409.087856433782,-13.7881252510384,3.70940850747578,5.16209202789157e-13,7.32004893053173e-11
"Pocillopora_acuta_HIv2___TS.g20007.t1",530.728095558458,-14.2635343007816,3.85379523797855,5.41220096389938e-13,7.60020143124667e-11
"Pocillopora_acuta_HIv2___RNAseq.g30663.t1",487.435148214201,-10.669042144185,2.09681902389036,5.8874893981336e-13,8.18813910140427e-11
"Pocillopora_acuta_HIv2___RNAseq.g28971.t1a",1603.2281279156,12.4836724119478,2.91505517816738,5.96341365300582e-13,8.21474429305487e-11
"Pocillopora_acuta_HIv2___RNAseq.g829.t1",2530.87772725239,14.3264800894611,3.30124926876031,6.45877069679426e-13,8.81317541117285e-11
"Pocillopora_acuta_HIv2___TS.g6907.t1",2839.24667072626,-9.38615985513276,2.37136527932662,6.54535908247259e-13,8.84785736157791e-11
"Pocillopora_acuta_HIv2___RNAseq.g2437.t1",2337.698638039,-13.241889525745,3.0034319025074,6.96196864790375e-13,9.32388097437777e-11
"Pocillopora_acuta_HIv2___RNAseq.g19042.t1",916.621468361507,-11.4772620055993,2.53057191897874,7.40883114156879e-13,9.78615089962015e-11
"Pocillopora_acuta_HIv2___RNAseq.g2959.t1",461.103525953368,-11.1507652596981,2.22458645877872,7.44245436226643e-13,9.78615089962015e-11
"Pocillopora_acuta_HIv2___RNAseq.g16527.t1",431.570197991471,-13.8144505833348,3.74241035264213,9.16031693644485e-13,1.19364706458323e-10
"Pocillopora_acuta_HIv2___RNAseq.g25686.t1",380.659258700191,-10.8384262127541,2.16689079291848,9.75165205255618e-13,1.25935620793011e-10
"Pocillopora_acuta_HIv2___RNAseq.g24911.t1",853.036098638509,0.932120187757817,1.72564438595376,9.86352880939459e-13,1.26253168760251e-10
"Pocillopora_acuta_HIv2___TS.g14372.t1b",364.331645999331,-13.6055957309196,3.69236471856991,9.99430080143344e-13,1.26804883150819e-10
"Pocillopora_acuta_HIv2___RNAseq.g26783.t1",361.906669694196,-13.5999506283718,3.70105374212671,1.19319296071065e-12,1.50072547684511e-10
"Pocillopora_acuta_HIv2___RNAseq.g299.t1",382.035799448043,-13.6026371792147,3.70602855048034,1.25548219577389e-12,1.56277998946974e-10
"Pocillopora_acuta_HIv2___RNAseq.g26596.t1",503.322440157317,-13.9368775974191,3.803634535059,1.26414033993335e-12,1.56277998946974e-10
"Pocillopora_acuta_HIv2___RNAseq.g8688.t1",10616.8423315086,-8.7936002132126,2.11856996091572,1.36929618316084e-12,1.67843220281682e-10
"Pocillopora_acuta_HIv2___RNAseq.g24649.t1",769.933878983184,-14.5027261524192,3.90218922020558,1.50698695151144e-12,1.82838680042993e-10
"Pocillopora_acuta_HIv2___RNAseq.g18982.t1",470.704900766149,-13.8779884189519,3.84294728084881,1.52157736114715e-12,1.82838680042993e-10
"Pocillopora_acuta_HIv2___RNAseq.g2567.t1",363.961123913796,-13.5037175540666,3.67728355331581,1.52955477635524e-12,1.82838680042993e-10
"Pocillopora_acuta_HIv2___TS.g1253.t1",528.009635951326,-13.8273597291786,3.81408051147185,1.64841739606842e-12,1.95432042760111e-10
"Pocillopora_acuta_HIv2___RNAseq.5883_t",372.245882521794,-13.5429823017584,3.69869554392521,1.77106209856114e-12,2.0826538368771e-10
"Pocillopora_acuta_HIv2___RNAseq.g3739.t1",353.363753142325,-13.617254734099,3.72108002699697,1.96770035295399e-12,2.29522725041342e-10
"Pocillopora_acuta_HIv2___RNAseq.g15990.t1",372.608312007925,-13.5994791997514,3.72220503291577,1.9851584419501e-12,2.2970665363493e-10
"Pocillopora_acuta_HIv2___RNAseq.g26586.t1",381.247139568541,-13.7468056021896,3.76496147780645,2.01677848773065e-12,2.31513365448699e-10
"Pocillopora_acuta_HIv2___RNAseq.g13044.t1",735.671212256975,-11.5629590178569,2.62249052345874,2.43220548690269e-12,2.77003308366618e-10
"Pocillopora_acuta_HIv2___RNAseq.g30675.t1",961.143021798293,9.70737332305113,2.11231758836334,2.81128161203229e-12,3.15325103018049e-10
"Pocillopora_acuta_HIv2___RNAseq.g10988.t1",1437.01770911377,-12.3294769173687,2.88761701658965,2.81958047696233e-12,3.15325103018049e-10
"Pocillopora_acuta_HIv2___RNAseq.11917_t",416.64625142896,-13.6001172879494,3.78170395918819,2.83408900666112e-12,3.15325103018049e-10
"Pocillopora_acuta_HIv2___RNAseq.g10339.t1",392.049430458694,-13.6104233752305,3.76815075302489,2.97399122269983e-12,3.2836495454298e-10
"Pocillopora_acuta_HIv2___RNAseq.g5003.t1",327.196984667357,-13.4311573317299,3.70387147590757,3.00007446247961e-12,3.28735432009887e-10
"Pocillopora_acuta_HIv2___RNAseq.g15838.t1",947.248888807,-1.01461325187272,1.90474686133018,3.10063744625627e-12,3.37200150546246e-10
"Pocillopora_acuta_HIv2___RNAseq.g22261.t1",1251.45084902703,15.9238331859312,4.19119276483651,3.16396177969244e-12,3.40818083122377e-10
"Pocillopora_acuta_HIv2___TS.g5308.t2",759.035885685081,12.4310654657364,3.01233472314475,3.18103161100117e-12,3.40818083122377e-10
"Pocillopora_acuta_HIv2___RNAseq.g26798.t1",364.94746280198,-13.4911543324184,3.7198948290673,3.27342237504426e-12,3.48138097298825e-10
"Pocillopora_acuta_HIv2___RNAseq.g29539.t1",4459.14029207164,-10.1825249657208,4.40508187035298,3.35183543286397e-12,3.53875530663829e-10
"Pocillopora_acuta_HIv2___RNAseq.g2220.t1",4540.85774542795,-8.54374371286921,2.11842028207553,3.43146178578323e-12,3.59656980214266e-10
"Pocillopora_acuta_HIv2___RNAseq.g4369.t1",689.301300641021,-9.45232308565597,2.10619425038588,3.51028558594603e-12,3.64409758301669e-10
"Pocillopora_acuta_HIv2___RNAseq.g14366.t1",250.602068410561,13.3452216319205,3.53736042989933,3.52719622249956e-12,3.64409758301669e-10
"Pocillopora_acuta_HIv2___RNAseq.g14347.t1",3739.22928222091,9.62610401995435,2.39824150187433,3.75445659693288e-12,3.8513801573076e-10
"Pocillopora_acuta_HIv2___RNAseq.g2995.t1",1190.36858098257,-12.3930355574801,2.90788893496451,3.85585448758586e-12,3.92754079636915e-10
"Pocillopora_acuta_HIv2___RNAseq.g3838.t1",1113.34691064372,-0.831206594176385,1.55375749484079,3.99495404535082e-12,4.04077030153526e-10
"Pocillopora_acuta_HIv2___RNAseq.g16699.t1",328.73878308999,-13.4918076903775,3.75157874317392,4.39234989738236e-12,4.41187145248184e-10
"Pocillopora_acuta_HIv2___RNAseq.g26267.t1",338.990367495423,-13.4165757054628,3.72881320129656,4.56203473265262e-12,4.55070830159224e-10
"Pocillopora_acuta_HIv2___RNAseq.g16486.t1",2676.39145640268,-13.414203832701,3.22926875415481,4.8967513080524e-12,4.85113773422397e-10
"Pocillopora_acuta_HIv2___RNAseq.g7678.t1",349.961710497645,-13.5161483256005,3.75407966361094,5.08530055365716e-12,5.0036589937481e-10
"Pocillopora_acuta_HIv2___RNAseq.g13102.t1",1328.68064326278,12.6365099276637,3.30125945811653,5.34917151899049e-12,5.22773086828909e-10
"Pocillopora_acuta_HIv2___RNAseq.g21444.t1",338.570538120978,-13.3295976038297,3.71289780586901,5.40155353463294e-12,5.24349465267993e-10
"Pocillopora_acuta_HIv2___RNAseq.g14763.t1",411.149002352806,-13.5681467281282,3.79130546564846,6.5577513919752e-12,6.32342107556862e-10
"Pocillopora_acuta_HIv2___RNAseq.g28990.t2",1305.91571861,-0.848401763470868,1.5764729248775,6.61795788950944e-12,6.33921476250758e-10
"Pocillopora_acuta_HIv2___RNAseq.g4770.t1",383.96335456763,-13.4647952985217,3.80366863613039,7.43305610083678e-12,7.07313970016469e-10
"Pocillopora_acuta_HIv2___RNAseq.g17965.t1",339.145514157385,-13.1858787350322,3.69536164155167,7.5201669095001e-12,7.10539264544927e-10
"Pocillopora_acuta_HIv2___RNAseq.g21169.t1",384.726198752394,-13.5212108363856,3.78236243321108,7.56519958102314e-12,7.10539264544927e-10
"Pocillopora_acuta_HIv2___TS.g1310.t1",377.334204249079,-13.4490588470684,3.75321780696879,7.70463113425018e-12,7.18966353069642e-10
"Pocillopora_acuta_HIv2___RNAseq.g9466.t1",3868.10737894307,-8.73812846612713,5.46404355989874,7.82097268240271e-12,7.25144544091492e-10
"Pocillopora_acuta_HIv2___RNAseq.g10039.t1",1074.94251648985,-0.803275826535599,1.51189375073754,8.20324570529858e-12,7.49052901906667e-10
"Pocillopora_acuta_HIv2___RNAseq.g14817.t1",308.277930305083,-13.2182210348991,3.68839112064468,8.22408164549477e-12,7.49052901906667e-10
"Pocillopora_acuta_HIv2___RNAseq.g29834.t1",364.43583865093,-13.3533766250149,3.7484400424978,8.23419603174502e-12,7.49052901906667e-10
"Pocillopora_acuta_HIv2___RNAseq.g17943.t1",393.527067993985,-13.6987650078203,3.82930416781533,8.61004802629646e-12,7.783483415772e-10
"Pocillopora_acuta_HIv2___RNAseq.g14014.t1",1371.2473120555,-10.1937421978913,2.60696009312413,9.42563299846473e-12,8.44446192764498e-10
"Pocillopora_acuta_HIv2___RNAseq.g15827.t1",2147.21458205249,-12.8929478816569,3.17571594053595,9.45798418334131e-12,8.44446192764498e-10
"Pocillopora_acuta_HIv2___RNAseq.g28815.t1",448.847439035537,-13.5182617850782,3.8356863828987,9.6033096778125e-12,8.52161172882699e-10
"Pocillopora_acuta_HIv2___RNAseq.g3653.t1",1313.49523169237,-12.3179792379391,3.02749037770666,1.00487125811157e-11,8.8624743154425e-10
"Pocillopora_acuta_HIv2___RNAseq.g30781.t1",4420.15094556839,-5.24816191136302,0.917675155748336,1.04425564928949e-11,9.14953954701329e-10
"Pocillopora_acuta_HIv2___RNAseq.g22605.t1",3203.60822977716,-13.6487275012486,3.38471796927162,1.05007160177282e-11,9.14953954701329e-10
"Pocillopora_acuta_HIv2___RNAseq.g1818.t1",865.729646052584,-0.942722665316529,1.74714351089824,1.09411161866832e-11,9.47618589965188e-10
"Pocillopora_acuta_HIv2___RNAseq.g17429.t1",270.985949703192,-13.0546813932589,3.63959043912132,1.12366492624085e-11,9.6493992612769e-10
"Pocillopora_acuta_HIv2___RNAseq.g20365.t1",286.998914749484,-13.1149862911243,3.66633167994309,1.12745331523493e-11,9.6493992612769e-10
"Pocillopora_acuta_HIv2___RNAseq.5910_t",434.904133567734,-10.9751399217337,2.46249783579677,1.1572942799328e-11,9.84653203820468e-10
"Pocillopora_acuta_HIv2___RNAseq.g7692.t1",381.610015450429,-13.3302368518936,3.77591975769833,1.1818677019481e-11,9.99680376665338e-10
"Pocillopora_acuta_HIv2___RNAseq.g18342.t1",1995.30398268793,-12.5206382429649,3.11654764398104,1.28261022376566e-11,1.0785857137527e-09
"Pocillopora_acuta_HIv2___RNAseq.g31286.t1c",336.709257994196,-13.2592061917055,3.76835901557273,1.31932986163946e-11,1.10305127854065e-09
"Pocillopora_acuta_HIv2___TS.g27807.t1",791.766086285611,-1.01248086209263,1.86342437817259,1.38961734415142e-11,1.15513938309231e-09
"Pocillopora_acuta_HIv2___RNAseq.g21255.t1",942.435162478306,11.9977776404174,4.13531308426976,1.52016439561159e-11,1.2564375896072e-09
"Pocillopora_acuta_HIv2___RNAseq.g30046.t1",2980.31198903644,8.5819223937253,5.69786413610994,1.7056178597729e-11,1.40170776839519e-09
"Pocillopora_acuta_HIv2___RNAseq.g13339.t1",286.202190123045,-13.0752016249772,3.701805759515,1.73297004005959e-11,1.41614003725548e-09
"Pocillopora_acuta_HIv2___TS.g26248.t1",501.539228602979,-14.0001178491446,3.89944480524922,1.74753822653694e-11,1.42002207351855e-09
"Pocillopora_acuta_HIv2___TS.g29848.t1",292.521544072173,-13.0607821392204,3.68225865821969,1.78120604161292e-11,1.43929408859717e-09
"Pocillopora_acuta_HIv2___TS.g28126.t1",1512.9378096092,12.9291098099507,3.46196080881106,1.85049745211852e-11,1.48075273454878e-09
"Pocillopora_acuta_HIv2___RNAseq.g11198.t1",3305.3903417023,-8.71180960629381,2.91403227011545,1.85298841920167e-11,1.48075273454878e-09
"Pocillopora_acuta_HIv2___TS.g16172.t3",491.815198073264,-10.5417770703658,2.39237961089929,2.06013196094282e-11,1.6372389386306e-09
"Pocillopora_acuta_HIv2___TS.7324_t",804.567793162316,12.3187461671731,3.19161667986303,2.13180965516898e-11,1.68494507389968e-09
"Pocillopora_acuta_HIv2___RNAseq.g25168.t1",347.73098464024,-13.5180509084323,3.81570197956311,2.27515240069327e-11,1.7884676262841e-09
