Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
trimmed_LCM_24_S5_R1_001	trimmed_LCM_24_S5_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203851835.0	26.7 Gbp	0.0	20-151	27.0	19.716474457517077	131.15419723349558	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
trimmed_LCM_24_S5_R2_001	trimmed_LCM_24_S5_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	203851835.0	26.7 Gbp	0.0	20-151	27.0	20.259836925703826	131.39249544160344	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
trimmed_LCM_25_S6_R1_001	trimmed_LCM_25_S6_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186592821.0	24 Gbp	0.0	20-151	31.0	17.525162755732005	128.86570956553575	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
trimmed_LCM_25_S6_R2_001	trimmed_LCM_25_S6_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	186592821.0	24.1 Gbp	0.0	20-151	31.0	18.679069649890398	129.39200122281233	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	pass
trimmed_LCM_32_S9_R1_001	trimmed_LCM_32_S9_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	205983302.0	30 Gbp	0.0	20-151	38.0	13.820502115670926	146.07290386577063	pass	pass	warn	pass	warn	warn	pass	warn	fail	warn	pass
trimmed_LCM_32_S9_R2_001	trimmed_LCM_32_S9_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	205983302.0	29.9 Gbp	0.0	20-151	38.0	16.10940660824469	145.235192855584	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
trimmed_LCM_33_S10_R1_001	trimmed_LCM_33_S10_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170240392.0	24.5 Gbp	0.0	20-151	42.0	13.251311512128783	144.22421448019222	pass	pass	warn	pass	pass	warn	pass	warn	fail	warn	pass
trimmed_LCM_33_S10_R2_001	trimmed_LCM_33_S10_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	170240392.0	24.3 Gbp	0.0	20-151	42.0	16.244784883259992	143.1212008663608	pass	pass	fail	pass	warn	warn	pass	warn	fail	warn	pass
trimmed_LCM_3_S2_R1_001	trimmed_LCM_3_S2_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149445438.0	18.7 Gbp	0.0	20-151	37.0	16.08869229286023	125.48801075480137	pass	pass	warn	pass	warn	fail	pass	warn	fail	fail	pass
trimmed_LCM_3_S2_R2_001	trimmed_LCM_3_S2_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	149445438.0	18.8 Gbp	0.0	20-151	38.0	17.27963523046498	126.21018624201831	pass	pass	fail	pass	warn	fail	pass	warn	fail	fail	warn
trimmed_Undetermined_S0_R1_001	trimmed_Undetermined_S0_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	183173774.0	21.8 Gbp	0.0	20-151	42.0	50.947688869014875	119.42813525805282	pass	pass	warn	pass	warn	fail	pass	warn	warn	warn	warn
trimmed_Undetermined_S0_R2_001	trimmed_Undetermined_S0_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	183173774.0	23 Gbp	0.0	20-151	47.0	50.150715588013824	126.15817085255884	pass	pass	fail	pass	warn	fail	pass	warn	warn	fail	fail
