chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e2_conf	LCM_4:e2e3_conf	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e2_conf	LCM_5:e2e3_conf	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e2_conf	LCM_8:e2e3_conf	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e2_conf	LCM_9:e2e3_conf	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e2_conf	LCM_15:e2e3_conf	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e2_conf	LCM_16:e2e3_conf	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e2_conf	LCM_20:e2e3_conf	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e2_conf	LCM_21:e2e3_conf	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e2_conf	LCM_26:e2e3_conf	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e2_conf	LCM_27:e2e3_conf	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.31	2	Pocillopora_acuta_HIv2___RNAseq.g28589.t1	14467266	14467316	14467409	14467453	14467750	14467783	1528.3	1667.0	1716.0	1602	1676	0	1.00	1743.1	1816.2	1852.0	1757	1813	0	1.00	832.0	865.7	863.6	866	836	0	1.00	538.3	603.7	596.4	569	604	0	1.00	1088.3	1140.3	1120.1	1125	1139	0	1.00	743.9	784.9	804.0	753	782	0	1.00	603.4	576.6	589.6	583	585	0	1.00	461.9	477.8	493.1	478	476	0	1.00	1554.4	1562.9	1595.6	1547	1541	43	0.97	918.3	966.6	1008.1	943	999	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.32	1	Pocillopora_acuta_HIv2___RNAseq.g28589.t1	14467873	14467878	14468230	14468278	14469932	14471034	1506.2	133.7	840.8	135	126	1362	0.08	1835.3	0.0	1258.7	0	0	1847	0.00	736.5	0.0	590.8	0	0	727	0.00	403.8	0.0	250.1	0	0	394	0.00	1018.2	0.0	672.3	0	0	1019	0.00	830.0	0.0	715.5	0	0	825	0.00	670.5	0.0	687.2	0	0	674	0.00	503.0	0.0	488.1	0	0	500	0.00	1608.5	0.0	1078.0	0	0	1624	0.00	986.8	0.0	753.5	0	0	994	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	exon_skip.37	0	Pocillopora_acuta_HIv2___RNAseq.g28688.t1	15561718	15561917	15562006	15562056	15563427	15563503	2.2	0.0	0.0	0	0	0	nan	20.9	34.5	112.2	21	18	50	0.26	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	1.4	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	11.8	47.0	41.9	43	47	0	1.00	2.8	0.0	0.0	0	0	0	nan	2.9	0.0	0.0	0	0	0	nan	5.3	0.0	25.9	0	0	21	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.43	2	Pocillopora_acuta_HIv2___RNAseq.g27573.t2	2522244	2523009	2523367	2523505	2524603	2524903	75.1	0.0	0.0	0	0	0	nan	38.3	25.4	32.4	27	40	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.9	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	78.0	47.7	30.9	72	24	0	1.00	67.3	0.0	49.6	0	0	56	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.45	2	Pocillopora_acuta_HIv2___RNAseq.g27679.t1	3805595	3807521	3811677	3811905	3812678	3812681	346.5	735.9	330.2	988	221	60	0.79	215.1	441.7	191.5	544	169	31	0.84	48.1	0.0	0.0	0	0	0	nan	4.2	0.0	0.0	0	0	0	nan	45.5	44.0	14.0	50	0	14	0.00	330.7	562.0	187.2	716	158	18	0.90	24.0	29.9	19.5	37	20	0	1.00	288.8	556.1	251.2	599	214	0	1.00	89.5	129.9	37.5	160	40	0	1.00	157.0	405.1	48.5	595	50	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.47	1	Pocillopora_acuta_HIv2___RNAseq.g27701.t1	4102376	4102573	4103758	4103834	4105660	4105812	0.0	0.0	0.0	0	0	0	nan	82.9	0.0	97.1	0	0	81	0.00	11.7	0.0	52.6	0	0	49	0.00	0.0	0.0	0.0	0	0	0	nan	55.4	0.0	84.9	0	0	28	0.00	9.2	0.0	11.7	0	0	14	0.00	36.6	0.0	6.4	0	0	28	0.00	0.0	0.0	0.0	0	0	0	nan	63.7	0.0	53.6	0	0	32	0.00	12.8	11.9	14.5	5	15	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.51	2	Pocillopora_acuta_HIv2___TS.g10606.t1	5076117	5076365	5078682	5078923	5080908	5080944	106.3	0.0	77.2	0	0	90	0.00	352.8	0.0	398.4	0	0	448	0.00	475.6	0.0	541.7	0	0	615	0.00	0.5	0.0	2.0	0	0	2	nan	210.6	37.4	253.6	45	24	260	0.08	128.7	0.0	166.8	0	0	179	0.00	248.0	0.0	289.1	0	0	318	0.00	312.1	0.0	362.2	0	0	372	0.00	377.4	37.7	474.1	43	31	492	0.06	108.2	0.0	125.4	0	0	141	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.53	1	Pocillopora_acuta_HIv2___RNAseq.g27966.t1	6655447	6655542	6655769	6655860	6656614	6656652	137.1	0.0	111.8	0	0	121	0.00	277.1	0.0	214.2	0	0	242	0.00	38.9	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	59.2	0.0	61.3	0	0	68	0.00	74.1	0.0	82.3	0	0	75	0.00	252.3	35.8	219.9	31	44	192	0.14	0.0	0.0	0.0	0	0	0	nan	375.3	0.0	376.6	0	0	364	0.00	115.2	0.0	91.4	0	0	86	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.56	2	Pocillopora_acuta_HIv2___RNAseq.g28137.t1	8780767	8780955	8782364	8782402	8783782	8783885	0.0	0.0	0.0	0	0	0	nan	107.0	111.4	103.0	97	111	0	1.00	0.0	0.0	0.0	0	0	0	nan	333.7	128.2	16.2	159	83	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	79.3	71.4	93.0	61	76	0	1.00	0.4	0.0	0.0	0	0	0	nan	40.0	0.0	30.2	0	0	34	0.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.58	0	Pocillopora_acuta_HIv2___RNAseq.g28137.t1	8787454	8787619	8789445	8789534	8790921	8791038	0.0	0.0	0.0	0	0	0	nan	60.4	30.3	58.6	38	21	25	0.46	24.8	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	28.5	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	43.2	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.60	2	Pocillopora_acuta_HIv2___RNAseq.g28258.t1	10221864	10223573	10224208	10224295	10226663	10226784	96.1	0.0	132.0	0	0	143	0.00	316.3	419.0	418.4	431	363	0	1.00	373.8	114.2	115.3	109	108	0	1.00	89.2	0.0	0.0	0	0	0	nan	242.6	236.7	244.6	259	207	0	1.00	118.4	0.0	100.1	0	0	0	nan	427.4	304.1	452.3	344	238	0	1.00	132.3	128.1	176.5	126	113	0	1.00	529.1	398.4	467.6	470	313	0	1.00	175.1	179.0	216.9	206	122	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.63	2	Pocillopora_acuta_HIv2___TS.g11147.t1	11706891	11707101	11708823	11708956	11710083	11710341	0.0	0.0	0.0	0	0	0	nan	59.0	48.1	33.8	23	21	18	0.54	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	45.5	0.0	0	0	0	nan	16.8	16.6	7.3	16	13	0	1.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.64	2	Pocillopora_acuta_HIv2___RNAseq.g28451.t1	12516806	12516890	12517001	12517027	12518400	12518440	1579.8	1802.4	1685.5	1750	1735	0	1.00	548.0	650.6	636.4	627	643	0	1.00	0.0	0.0	0.0	0	0	0	nan	617.5	610.3	524.1	619	538	0	1.00	108.3	131.7	116.4	124	131	0	1.00	872.4	1019.9	1075.3	969	1028	64	0.94	65.0	71.6	69.1	73	70	0	1.00	1198.1	1446.7	1412.0	1371	1438	0	1.00	336.6	408.1	397.0	401	409	0	1.00	2520.6	3112.0	2980.0	2948	2907	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.65	2	Pocillopora_acuta_HIv2___RNAseq.g28497.t1	13197060	13197423	13198577	13198768	13199673	13199787	145.8	0.3	0.0	3	0	0	nan	59.5	53.8	58.9	50	80	0	1.00	77.9	0.0	0.0	0	0	0	nan	228.1	252.1	245.6	260	278	0	1.00	33.1	0.2	43.4	2	0	0	nan	48.9	0.0	0.0	0	0	0	nan	32.1	29.6	43.0	30	44	0	1.00	12.8	0.0	0.0	0	0	0	nan	48.4	37.5	30.8	31	25	0	1.00	104.4	74.2	181.8	55	83	72	0.43
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.66	2	Pocillopora_acuta_HIv2___TS.g11294.t1	13374311	13374378	13375537	13375640	13376588	13376831	0.0	247.1	383.4	0	125	0	nan	41.4	114.9	109.6	19	21	0	1.00	0.0	27.9	0.0	0	0	0	nan	0.0	5.6	0.0	0	0	0	nan	35.2	37.9	72.3	0	0	35	0.00	0.0	21.6	0.0	0	0	0	nan	0.0	72.1	49.5	0	0	0	nan	60.6	110.5	51.2	66	47	0	1.00	0.0	171.5	109.8	0	48	0	nan	0.0	106.6	111.6	0	64	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.68	0	Pocillopora_acuta_HIv2___TS.g11388.t2	14607212	14607346	14608506	14608537	14609242	14609361	0.0	0.0	0.0	0	0	0	nan	50.1	50.2	15.0	15	15	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	28.0	84.6	0.9	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	62.0	60.9	74.0	24	0	29	0.00	66.9	79.4	63.5	80	70	0	1.00	107.9	41.0	23.0	53	34	0	1.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.69	2	Pocillopora_acuta_HIv2___TS.g11388.t2	14607212	14607346	14608506	14608538	14609242	14609361	0.0	0.0	0.0	0	0	0	nan	50.1	49.7	15.0	15	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	28.0	84.5	0.9	0	3	0	nan	0.0	0.0	0.0	0	0	0	nan	62.0	60.9	74.0	24	62	29	0.45	66.9	77.2	63.5	80	0	0	nan	107.9	39.7	23.0	53	0	0	nan	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	exon_skip.73	2	Pocillopora_acuta_HIv2___RNAseq.g28693.t1	15600203	15600272	15600804	15600895	15601152	15601227	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	158.0	191.5	195.2	176	188	0	1.00	0.0	0.0	0.0	0	0	0	nan	10.6	0.0	0.0	0	0	0	nan	52.3	43.7	36.9	50	31	0	1.00	46.3	0.0	41.6	0	0	35	0.00	0.0	0.0	0.0	0	0	0	nan	41.5	43.2	47.5	45	43	0	1.00	76.2	71.2	56.1	69	60	0	1.00
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.74	2	Pocillopora_acuta_HIv2___RNAseq.g10170.t1	382950	383033	383628	383705	384216	386083	86.6	105.7	51.8	89	103	0	1.00	210.2	221.8	243.9	174	225	0	1.00	107.3	122.1	349.8	111	124	0	1.00	0.0	0.0	174.5	0	0	0	nan	107.2	140.1	297.5	97	102	0	1.00	52.8	0.0	230.5	0	0	46	0.00	0.0	0.0	175.8	0	0	0	nan	49.6	76.0	220.4	50	96	0	1.00	212.4	277.7	362.9	222	306	0	1.00	119.1	118.3	376.5	104	118	0	1.00
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.75	0	Pocillopora_acuta_HIv2___RNAseq.g10170.t1	382950	383033	383633	383705	384216	386083	86.6	106.3	51.8	0	103	0	nan	210.2	222.9	243.9	32	225	0	1.00	107.3	122.4	349.8	0	124	0	nan	0.0	0.0	174.5	0	0	0	nan	107.2	140.6	297.5	0	102	0	nan	52.8	0.0	230.5	0	0	46	0.00	0.0	0.0	175.8	0	0	0	nan	49.6	77.7	220.4	0	96	0	nan	212.4	281.0	362.9	0	306	0	nan	119.1	118.7	376.5	0	118	0	nan
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.79	1	Pocillopora_acuta_HIv2___TS.g28501.t2	2032249	2032300	2033342	2033483	2033915	2034214	0.0	0.0	0.0	0	0	0	nan	269.2	23.3	27.1	31	22	0	1.00	191.3	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	189.9	49.6	79.3	19	28	27	0.41	0.0	0.0	0.0	0	0	0	nan	95.8	73.9	46.9	32	54	0	1.00	206.3	0.0	0.0	0	0	0	nan	162.9	34.4	65.4	0	52	0	nan	0.0	0.0	37.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.80	2	Pocillopora_acuta_HIv2___RNAseq.g10365.t1	2286728	2286765	2287079	2287122	2288313	2289590	25.3	22.2	1.6	23	18	0	1.00	99.3	92.8	74.0	89	98	21	0.81	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	10.6	18.2	13.0	15	18	0	1.00	24.6	29.0	17.2	25	27	0	1.00	37.1	44.9	8.0	43	39	0	1.00	0.0	0.0	0.0	0	0	0	nan	58.0	51.9	49.2	40	55	18	0.69	50.9	59.8	23.5	51	63	0	1.00
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.81	1	Pocillopora_acuta_HIv2___TS.g28528.t1b	2368789	2368836	2369487	2369604	2370451	2370532	567.1	83.5	397.0	82	0	404	0.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	155.5	206.9	472.9	149	303	0	1.00	0.0	0.0	1.3	0	0	0	nan	251.8	86.2	612.0	17	143	222	0.07	19.9	0.0	13.8	0	0	9	nan	483.8	193.9	674.8	155	151	339	0.31	0.0	0.0	0.0	0	0	0	nan	906.5	230.4	1487.1	170	265	738	0.19
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.83	1	Pocillopora_acuta_HIv2___RNAseq.g10378.t1	2456773	2456797	2458036	2458117	2459744	2459859	152.1	152.1	154.9	146	173	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	33.4	5.9	22.4	0	16	0	nan	0.0	0.0	0.0	0	0	0	nan	209.4	194.8	164.5	153	86	61	0.59	0.0	0.0	0.0	0	0	0	nan	460.0	247.5	350.7	249	230	201	0.53
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.89	0	Pocillopora_acuta_HIv2___RNAseq.g10522.t1	4447709	4448079	4448152	4448175	4448200	4448378	25.9	271.0	86.8	60	18	11	0.62	30.4	99.2	29.6	9	0	0	nan	37.6	363.2	90.8	1	0	0	nan	49.8	330.4	120.0	57	0	0	nan	21.8	174.1	53.8	15	0	0	nan	66.5	383.0	154.8	145	33	0	1.00	72.4	324.6	89.9	123	0	0	nan	50.6	228.0	117.4	64	0	39	0.00	34.3	158.2	55.4	37	0	0	nan	26.0	230.6	73.4	55	23	0	1.00
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.90	1	Pocillopora_acuta_HIv2___RNAseq.g10537.t1	4630401	4630665	4630959	4630993	4631908	4632113	202.3	0.0	115.7	0	0	214	0.00	196.2	0.0	116.1	0	0	186	0.00	268.2	146.9	182.1	149	152	147	0.50	0.0	0.0	0.0	0	0	0	nan	236.6	0.0	125.6	0	0	252	0.00	64.0	0.0	46.9	0	0	68	0.00	214.7	0.0	154.6	0	0	255	0.00	153.8	0.0	99.9	0	0	110	0.00	214.5	0.0	140.3	0	0	217	0.00	342.6	55.4	229.1	57	54	245	0.18
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.94	2	Pocillopora_acuta_HIv2___RNAseq.g10567.t1	5052488	5052546	5052710	5052764	5052889	5052931	201.0	98.2	54.9	126	68	0	1.00	67.7	44.3	18.7	56	28	0	1.00	0.0	0.0	0.0	0	0	0	nan	194.2	167.4	118.9	176	142	0	1.00	19.9	7.1	30.3	0	21	0	nan	74.9	47.6	21.2	68	33	0	1.00	87.6	68.2	50.2	37	52	0	1.00	57.8	65.8	56.8	56	67	0	1.00	127.1	76.5	87.8	91	64	32	0.67	67.4	54.9	35.4	57	45	0	1.00
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.97	2	Pocillopora_acuta_HIv2___RNAseq.g10768.t1	7234143	7234340	7234561	7234593	7235373	7235680	0.0	0.0	6.5	0	0	0	nan	12.5	0.0	37.3	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	33.7	24.5	23.8	26	23	0	1.00	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	31.4	0.0	39.0	0	0	45	0.00	0.0	0.0	0.0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000001	+	exon_skip.98	0	Pocillopora_acuta_HIv2___TS.g29013.t1b	7943190	7943250	7943427	7943471	7943907	7944069	134.6	159.0	126.5	148	157	0	1.00	94.3	53.7	103.6	50	52	47	0.52	0.0	126.9	0.0	0	0	0	nan	0.0	0.0	0.0	0	0	0	nan	87.2	86.9	99.7	93	88	0	1.00	39.1	49.3	47.7	43	57	0	1.00	0.0	0.0	0.0	0	0	0	nan	117.6	109.2	110.1	113	111	0	1.00	24.7	22.9	34.4	27	21	0	1.00	122.5	135.1	129.7	123	138	0	1.00
