chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	e4_start	e4_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e4_cov	LCM_4:e1e2_conf	LCM_4:e1e3_conf	LCM_4:e2e4_conf	LCM_4:e3e4_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e4_cov	LCM_5:e1e2_conf	LCM_5:e1e3_conf	LCM_5:e2e4_conf	LCM_5:e3e4_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e4_cov	LCM_8:e1e2_conf	LCM_8:e1e3_conf	LCM_8:e2e4_conf	LCM_8:e3e4_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e4_cov	LCM_9:e1e2_conf	LCM_9:e1e3_conf	LCM_9:e2e4_conf	LCM_9:e3e4_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e4_cov	LCM_15:e1e2_conf	LCM_15:e1e3_conf	LCM_15:e2e4_conf	LCM_15:e3e4_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e4_cov	LCM_16:e1e2_conf	LCM_16:e1e3_conf	LCM_16:e2e4_conf	LCM_16:e3e4_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e4_cov	LCM_20:e1e2_conf	LCM_20:e1e3_conf	LCM_20:e2e4_conf	LCM_20:e3e4_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e4_cov	LCM_21:e1e2_conf	LCM_21:e1e3_conf	LCM_21:e2e4_conf	LCM_21:e3e4_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e4_cov	LCM_26:e1e2_conf	LCM_26:e1e3_conf	LCM_26:e2e4_conf	LCM_26:e3e4_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e4_cov	LCM_27:e1e2_conf	LCM_27:e1e3_conf	LCM_27:e2e4_conf	LCM_27:e3e4_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.40	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200452	3200715	3201673	3201837	401.8	426.9	343.9	380.0	124	0	0	6	0.05	254.7	175.6	258.2	447.7	36	0	3	23	0.37	11.1	0.2	56.8	38.8	0	0	0	4	nan	36.7	22.8	6.1	51.6	0	0	0	0	nan	123.1	62.8	163.4	277.9	22	0	0	8	0.27	199.8	204.4	121.6	378.5	48	0	0	0	0.00	151.7	136.0	194.2	279.6	21	0	0	11	0.34	172.8	130.3	99.8	305.2	39	0	0	4	0.09	198.0	204.1	217.6	429.3	39	21	0	13	0.47	239.5	297.0	180.8	241.2	70	0	0	7	0.09
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.41	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200452	3200715	3201772	3201837	401.8	426.9	343.9	649.5	124	0	0	0	0.00	254.7	175.6	258.2	710.2	36	0	3	13	0.25	11.1	0.2	56.8	65.2	0	0	0	2	nan	36.7	22.8	6.1	76.3	0	0	0	0	nan	123.1	62.8	163.4	435.5	22	0	0	9	0.29	199.8	204.4	121.6	630.8	48	0	0	0	0.00	151.7	136.0	194.2	434.9	21	0	0	0	0.00	172.8	130.3	99.8	521.1	39	0	0	8	0.17	198.0	204.1	217.6	716.3	39	21	0	4	0.39	239.5	297.0	180.8	382.1	70	0	0	8	0.10
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.43	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200452	3200847	3201673	3201837	401.8	426.9	267.9	380.0	124	0	0	22	0.15	254.7	175.6	258.2	447.7	36	0	3	64	0.62	11.1	0.2	49.0	38.8	0	0	0	7	nan	36.7	22.8	4.4	51.6	0	0	0	0	nan	123.1	62.8	148.7	277.9	22	0	0	17	0.44	199.8	204.4	105.8	378.5	48	0	0	0	0.00	151.7	136.0	183.6	279.6	21	0	0	38	0.64	172.8	130.3	79.2	305.2	39	0	0	1	0.03	198.0	204.1	190.5	429.3	39	21	0	43	0.62	239.5	297.0	163.2	241.2	70	0	0	23	0.25
Pocillopora_acuta_HIv2___Sc0000013	+	mutex_exons.44	0	Pocillopora_acuta_HIv2___TS.g314.t3a	3200061	3200187	3200221	3200319	3200452	3200847	3201772	3201837	401.8	426.9	267.9	649.5	124	0	0	0	0.00	254.7	175.6	258.2	710.2	36	0	3	47	0.55	11.1	0.2	49.0	65.2	0	0	0	0	nan	36.7	22.8	4.4	76.3	0	0	0	0	nan	123.1	62.8	148.7	435.5	22	0	0	19	0.46	199.8	204.4	105.8	630.8	48	0	0	0	0.00	151.7	136.0	183.6	434.9	21	0	0	18	0.46	172.8	130.3	79.2	521.1	39	0	0	9	0.19	198.0	204.1	190.5	716.3	39	21	0	13	0.47	239.5	297.0	163.2	382.1	70	0	0	26	0.27
Pocillopora_acuta_HIv2___Sc0000019	+	mutex_exons.46	0	Pocillopora_acuta_HIv2___TS.g16836.t1	1074260	1074388	1074716	1074796	1081968	1082048	1082529	1082761	0.0	0.0	0.0	0.0	0	0	0	0	nan	3.3	2.1	4.0	15.2	3	3	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	24.9	16.6	33.6	1.5	22	27	11	13	0.55	3.2	1.3	3.7	0.0	2	5	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.2	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	4.7	8.7	9.0	13.5	7	5	7	4	0.39	0.0	0.2	0.2	4.3	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000020	-	mutex_exons.47	0	Pocillopora_acuta_HIv2___TS.g20204.t2	3490710	3490793	3491583	3491647	3493242	3493309	3493849	3493903	231.6	254.8	0.0	225.3	239	0	235	0	0.00	121.8	99.1	0.0	98.8	94	0	93	0	0.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	1.0	0.0	1.0	0	0	1	0	nan	23.9	0.0	28.7	28.6	0	23	0	25	1.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	133.4	68.9	27.8	86.6	80	23	43	35	0.32	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000022	-	mutex_exons.49	1	Pocillopora_acuta_HIv2___TS.g1848.t2	2079827	2079919	2081740	2081788	2081847	2081898	2082548	2082631	0.0	0.0	0.0	0.0	0	0	0	0	nan	75.2	59.1	12.2	73.3	56	13	58	12	0.18	24.3	27.5	0.0	31.1	22	0	24	0	0.00	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	43.8	52.0	0.0	40.2	50	0	44	0	0.00	0.0	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000023	-	mutex_exons.50	1	Pocillopora_acuta_HIv2___TS.g14319.t1	467292	468644	469838	469926	469492	469837	470321	471023	23.3	0.0	9.4	0.0	0	0	0	0	nan	57.0	37.8	54.4	57.6	0	23	0	16	1.00	88.5	0.0	0.0	0.0	0	0	0	0	nan	5.5	0.0	0.0	0.0	0	0	0	0	nan	57.0	0.0	92.5	72.2	0	105	0	105	1.00	11.7	0.0	0.0	0.0	0	0	0	0	nan	81.9	112.3	40.4	102.9	104	56	55	31	0.35	13.7	25.8	61.6	0.0	0	0	0	0	nan	98.7	0.0	68.8	51.2	0	43	0	63	1.00	16.6	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000023	-	mutex_exons.51	1	Pocillopora_acuta_HIv2___TS.g14319.t1	467292	468644	469838	469932	469492	469837	470321	471023	23.3	0.0	9.4	0.0	0	0	0	0	nan	57.0	37.0	54.4	57.6	0	23	0	16	1.00	88.5	0.0	0.0	0.0	0	0	0	0	nan	5.5	0.0	0.0	0.0	0	0	0	0	nan	57.0	0.0	92.5	72.2	0	105	0	105	1.00	11.7	0.0	0.0	0.0	0	0	0	0	nan	81.9	108.6	40.4	102.9	104	56	55	31	0.35	13.7	24.2	61.6	0.0	0	0	0	0	nan	98.7	0.0	68.8	51.2	0	43	0	63	1.00	16.6	0.0	0.0	0.0	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000023	-	mutex_exons.52	0	Pocillopora_acuta_HIv2___RNAseq.g20436.t2	1350967	1351121	1351246	1351304	1351691	1351749	1352457	1352572	34.8	0.0	0.0	142.0	0	0	0	0	nan	108.4	14.9	0.0	341.6	11	0	0	0	0.00	39.7	19.0	0.0	124.6	17	0	0	0	0.00	133.3	109.8	0.0	548.3	81	0	137	0	0.00	39.9	37.1	0.0	207.9	29	0	20	0	0.00	79.4	0.0	0.0	341.5	0	0	0	0	nan	75.9	8.2	0.0	249.8	10	0	0	0	0.00	51.9	0.0	0.0	236.2	0	0	0	0	nan	141.5	4.1	0.0	361.4	4	0	0	0	nan	72.4	0.0	39.5	326.9	0	35	0	47	1.00
Pocillopora_acuta_HIv2___Sc0000024	-	mutex_exons.54	0	Pocillopora_acuta_HIv2___RNAseq.g3902.t1	3036907	3037100	3037232	3037383	3040388	3040539	3040622	3040762	93.3	109.9	31.6	78.7	34	36	85	0	0.23	95.2	62.3	20.1	16.4	50	33	35	0	0.28	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	74.2	158.0	98.1	0	0	69	102	0.60	66.5	55.6	22.4	2.4	38	32	12	0	0.39	136.5	104.7	50.6	48.6	53	63	56	0	0.37	49.5	49.9	74.1	84.5	21	17	0	72	0.81	43.1	33.0	52.4	81.2	6	7	30	43	0.58	110.1	58.5	85.7	30.0	32	33	21	21	0.50	278.5	259.8	174.1	100.6	151	168	101	46	0.46
Pocillopora_acuta_HIv2___Sc0000031	+	mutex_exons.57	0	Pocillopora_acuta_HIv2___RNAseq.g21216.t1	354690	354887	354968	355010	355116	355158	355856	355954	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.9	0.0	0.0	0.0	0	0	0	0	nan	141.1	44.7	40.2	152.8	39	40	42	37	0.49	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	1.4	0.0	0.0	15.9	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	39.5	0.0	0.0	32.2	0	0	0	0	nan	50.6	0.0	0.0	44.1	0	0	0	0	nan
Pocillopora_acuta_HIv2___Sc0000031	+	mutex_exons.58	0	Pocillopora_acuta_HIv2___RNAseq.g21216.t1	354690	354887	354968	355010	355116	355232	355856	355954	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.9	0.0	0.0	0.0	0	0	0	0	nan	141.1	44.7	27.7	152.8	39	40	42	34	0.48	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	1.4	0.0	0.0	15.9	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	0.0	0.0	0.0	0.0	0	0	0	0	nan	39.5	0.0	0.0	32.2	0	0	0	0	nan	50.6	0.0	0.0	44.1	0	0	0	0	nan
