chrm	strand	event_id	is_annotated	gene_name	e1_start	e1_end	e2_start	e2_end	e3_start	e3_end	LCM_4:e1_cov	LCM_4:e2_cov	LCM_4:e3_cov	LCM_4:e1e3_conf	LCM_4:psi	LCM_5:e1_cov	LCM_5:e2_cov	LCM_5:e3_cov	LCM_5:e1e3_conf	LCM_5:psi	LCM_8:e1_cov	LCM_8:e2_cov	LCM_8:e3_cov	LCM_8:e1e3_conf	LCM_8:psi	LCM_9:e1_cov	LCM_9:e2_cov	LCM_9:e3_cov	LCM_9:e1e3_conf	LCM_9:psi	LCM_15:e1_cov	LCM_15:e2_cov	LCM_15:e3_cov	LCM_15:e1e3_conf	LCM_15:psi	LCM_16:e1_cov	LCM_16:e2_cov	LCM_16:e3_cov	LCM_16:e1e3_conf	LCM_16:psi	LCM_20:e1_cov	LCM_20:e2_cov	LCM_20:e3_cov	LCM_20:e1e3_conf	LCM_20:psi	LCM_21:e1_cov	LCM_21:e2_cov	LCM_21:e3_cov	LCM_21:e1e3_conf	LCM_21:psi	LCM_26:e1_cov	LCM_26:e2_cov	LCM_26:e3_cov	LCM_26:e1e3_conf	LCM_26:psi	LCM_27:e1_cov	LCM_27:e2_cov	LCM_27:e3_cov	LCM_27:e1e3_conf	LCM_27:psi
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.24	3	Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	6679390	6679443	6679444	6679583	6679584	6679633	178.9	0.0	190.9	193	0.00	16.1	0.0	17.9	14	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	105.4	55.0	93.9	48	0.53	73.5	0.0	93.1	79	0.00	51.1	20.0	46.7	32	0.38	96.4	79.7	85.3	0	1.00	66.8	0.0	102.8	86	0.00	60.1	4.6	113.9	62	0.07
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.25	3	Pocillopora_acuta_HIv2___RNAseq.g27967.t1b	6679390	6679633	6679634	6679807	6679808	6679882	78.7	0.0	162.4	175	0.00	7.2	0.0	23.6	20	0.00	0.0	0.0	0.0	0	nan	0.0	1.8	16.8	0	nan	74.1	35.5	82.7	53	0.40	35.4	0.0	74.8	91	0.00	32.3	18.0	51.3	32	0.36	84.6	71.2	52.2	0	1.00	35.8	0.0	113.7	103	0.00	39.3	0.0	170.5	134	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.28	2	Pocillopora_acuta_HIv2___RNAseq.g28184.t1	9314760	9314897	9314898	9314944	9314945	9316548	128.1	56.2	4.7	68	0.45	27.1	31.4	4.4	0	1.00	0.0	0.0	0.7	0	nan	0.0	0.0	0.0	0	nan	28.2	52.5	5.2	0	1.00	96.9	115.1	9.2	0	1.00	16.6	32.8	8.6	0	1.00	0.0	0.0	0.8	0	nan	38.6	84.0	7.8	0	1.00	0.0	0.0	3.8	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.29	2	Pocillopora_acuta_HIv2___TS.g10998.t1	9694527	9695697	9695698	9695833	9695834	9696457	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.5	0	nan	0.0	0.0	0.0	0	nan	0.0	3.4	36.5	0	nan	0.0	0.0	0.0	0	nan	10.1	0.0	47.1	25	0.00	0.0	0.0	0.0	0	nan	0.8	18.1	94.2	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.30	2	Pocillopora_acuta_HIv2___TS.g10998.t1	9694527	9696030	9696031	9696139	9696140	9696457	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	1.0	0	nan	0.0	0.0	0.0	0	nan	2.6	24.8	52.3	8	0.76	0.0	0.0	0.0	0	nan	12.2	51.4	54.2	0	1.00	0.0	0.0	0.0	0	nan	14.8	63.0	103.9	78	0.45	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.33	2	Pocillopora_acuta_HIv2___TS.g11075.t2	10513652	10515367	10515368	10515412	10515413	10515655	53.5	301.6	356.1	116	0.72	65.1	245.9	172.2	0	1.00	24.1	136.3	106.5	0	1.00	0.0	0.0	19.1	0	nan	68.8	185.2	117.3	0	1.00	25.6	158.8	95.9	0	1.00	61.0	490.4	334.3	0	1.00	21.2	89.9	109.9	0	1.00	97.3	313.2	223.2	0	1.00	12.4	76.9	106.1	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.35	2	Pocillopora_acuta_HIv2___RNAseq.g28349.t1	11636880	11638042	11638043	11638200	11638201	11639269	0.0	0.0	24.4	0	nan	11.5	7.6	99.6	0	nan	0.0	0.0	234.0	0	nan	0.0	0.0	29.0	0	nan	0.5	0.0	95.7	6	nan	0.0	0.0	60.7	0	nan	8.0	27.8	171.3	0	1.00	0.0	5.0	83.5	0	nan	19.5	9.5	268.9	0	nan	0.2	8.5	74.4	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.38	2	Pocillopora_acuta_HIv2___RNAseq.g28396.t1	11950151	11950593	11950594	11950618	11950619	11951224	358.0	221.6	205.3	136	0.62	384.8	233.3	253.3	224	0.51	336.2	291.8	213.7	0	1.00	114.8	212.8	159.2	0	1.00	180.8	128.7	158.5	112	0.53	132.9	183.8	106.5	0	1.00	180.4	230.1	214.9	64	0.78	279.6	80.1	223.1	347	0.19	357.4	206.0	299.0	181	0.53	227.3	128.8	173.2	128	0.50
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.39	2	Pocillopora_acuta_HIv2___RNAseq.g28396.t1	11950151	11951224	11951225	11951488	11951489	11951503	268.7	47.3	67.9	0	1.00	307.1	56.8	104.9	0	1.00	266.0	34.7	59.5	0	1.00	142.1	0.0	0.0	0	nan	167.0	5.3	24.1	0	nan	119.2	4.1	11.5	0	nan	201.0	38.7	77.5	16	0.71	243.1	4.4	18.5	0	nan	320.9	11.3	20.1	0	1.00	194.5	6.4	5.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.40	2	Pocillopora_acuta_HIv2___TS.g11189.t1	12010271	12010557	12010558	12010643	12010644	12011301	0.0	0.0	0.0	0	nan	51.1	1.0	87.2	27	0.04	0.0	0.0	49.9	0	nan	0.0	0.0	0.0	0	nan	90.6	9.5	209.3	0	nan	0.0	0.0	0.2	0	nan	35.5	51.0	211.9	0	1.00	0.0	0.0	3.7	0	nan	67.2	15.7	230.9	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.41	2	Pocillopora_acuta_HIv2___TS.g11189.t1	12010271	12010558	12010559	12010644	12010645	12011301	0.0	0.0	0.0	0	nan	51.1	0.9	87.2	42	0.02	0.0	0.0	50.0	0	nan	0.0	0.0	0.0	0	nan	90.4	9.4	209.5	23	0.29	0.0	0.0	0.2	0	nan	35.8	51.0	212.0	0	1.00	0.0	0.0	3.7	0	nan	67.1	15.8	231.2	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.42	2	Pocillopora_acuta_HIv2___TS.g11189.t1	12010271	12010563	12010564	12010636	12010637	12011301	0.0	0.0	0.0	0	nan	50.2	0.0	86.3	0	nan	0.0	0.0	49.4	0	nan	0.0	0.0	0.0	0	nan	89.3	8.5	207.1	0	nan	0.0	0.0	0.2	0	nan	37.0	40.0	210.9	72	0.36	0.0	0.0	3.6	0	nan	66.3	14.3	228.7	0	1.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.43	3	Pocillopora_acuta_HIv2___RNAseq.g28415.t1	12143267	12143316	12143317	12143474	12143475	12143532	279.3	128.4	328.3	214	0.38	131.4	0.0	140.9	135	0.00	1.0	0.0	8.8	1	nan	139.0	0.0	249.5	195	0.00	115.9	0.0	111.3	121	0.00	238.5	0.1	241.9	231	0.00	193.5	0.5	222.4	219	0.00	93.6	0.0	119.0	107	0.00	298.1	0.0	273.7	295	0.00	337.7	0.0	317.1	322	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.44	3	Pocillopora_acuta_HIv2___RNAseq.g28458.t1	12613357	12613443	12613444	12614141	12614142	12614228	17.6	0.0	12.9	14	0.00	83.8	0.0	87.1	87	0.00	42.8	0.0	128.2	89	0.00	5.3	0.0	2.4	3	nan	62.7	37.6	139.2	55	0.41	86.9	0.0	101.8	98	0.00	27.4	0.0	49.6	46	0.00	33.6	0.0	45.7	40	0.00	37.1	0.0	43.0	36	0.00	51.0	0.0	38.6	31	0.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.47	3	Pocillopora_acuta_HIv2___RNAseq.g28495.t1	13152185	13152248	13152249	13152433	13152434	13152538	25.6	0.0	0.0	0	nan	57.4	0.0	27.0	26	0.00	279.3	112.7	255.8	165	0.41	32.3	0.0	0.0	0	nan	27.9	0.0	0.8	2	nan	30.5	0.0	0.0	0	nan	12.3	0.0	0.0	0	nan	124.4	86.9	75.4	0	1.00	150.2	0.0	59.8	74	0.00	36.3	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.48	3	Pocillopora_acuta_HIv2___RNAseq.g28495.t1	13152185	13152538	13152539	13152881	13152882	13152971	4.6	0.0	0.0	0	nan	18.4	0.0	29.8	25	0.00	185.3	114.2	246.1	131	0.47	5.8	0.0	0.0	0	nan	5.3	0.0	0.0	0	nan	5.5	0.0	0.0	0	nan	2.2	0.0	0.0	0	nan	90.3	90.1	99.0	0	1.00	44.9	0.0	39.3	39	0.00	6.6	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.50	2	Pocillopora_acuta_HIv2___TS.g11286.t1	13270093	13270131	13270132	13270157	13270158	13270308	504.6	530.7	222.1	0	1.00	36.2	41.0	27.8	0	1.00	0.0	0.0	1.4	0	nan	1314.6	1473.3	701.1	0	1.00	26.3	52.4	57.0	0	1.00	393.5	395.4	205.1	11	0.97	3.2	6.0	5.2	0	nan	536.8	608.7	350.9	0	1.00	11.3	22.5	20.8	0	1.00	581.3	638.0	286.2	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.51	2	Pocillopora_acuta_HIv2___RNAseq.g28504.t1	13289636	13289674	13289675	13289700	13289701	13289821	574.9	596.9	269.8	0	1.00	67.4	64.5	33.0	0	1.00	0.0	0.0	0.0	0	nan	1475.2	1432.2	638.4	0	1.00	152.7	151.7	61.1	0	1.00	545.6	499.5	234.4	14	0.97	17.0	17.0	4.8	0	1.00	833.3	790.8	371.2	0	1.00	123.2	108.2	40.6	0	1.00	708.8	715.0	355.5	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.58	2	Pocillopora_acuta_HIv2___RNAseq.g28567.t1	14197615	14199062	14199063	14199113	14199114	14199478	67.3	0.0	0.0	0	nan	34.8	22.6	43.9	6	0.79	0.1	0.0	1.6	0	nan	0.9	0.0	0.0	0	nan	0.0	0.0	4.4	0	nan	68.1	49.2	24.4	13	0.79	0.1	0.0	23.7	0	nan	76.1	0.0	0.0	0	nan	80.5	0.0	0.0	0	nan	33.0	0.0	28.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.62	2	Pocillopora_acuta_HIv2___RNAseq.g28674.t1	15446369	15447092	15447093	15447162	15447163	15447526	55.4	110.3	122.7	75	0.60	30.9	30.3	39.7	0	1.00	35.6	104.8	176.5	0	1.00	28.1	23.3	20.4	0	1.00	16.2	23.1	63.3	0	1.00	0.7	0.0	19.0	0	nan	30.3	28.0	94.5	0	1.00	5.9	6.2	6.1	0	nan	62.4	87.2	147.0	0	1.00	1.1	2.0	13.2	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.63	2	Pocillopora_acuta_HIv2___RNAseq.g28674.t1	15446369	15447138	15447139	15447166	15447167	15447526	58.6	124.9	121.9	0	1.00	31.0	27.6	39.8	0	1.00	39.6	111.0	177.1	0	1.00	27.4	37.8	20.1	0	1.00	16.6	21.2	63.7	0	1.00	0.7	0.0	19.2	0	nan	30.7	11.4	95.5	30	0.28	6.1	0.6	6.1	0	nan	63.9	87.7	147.6	0	1.00	1.2	2.0	13.3	0	nan
Pocillopora_acuta_HIv2___Sc0000000	+	intron_retention.66	3	Pocillopora_acuta_HIv2___RNAseq.g28688.t1	15563427	15563503	15563504	15563834	15563835	15565292	0.0	0.0	0.5	0	nan	112.2	56.2	148.6	57	0.50	0.0	0.0	72.3	0	nan	0.0	0.0	70.4	0	nan	0.0	0.0	85.5	0	nan	0.0	0.0	103.5	0	nan	41.9	12.0	179.2	42	0.22	0.0	0.0	76.8	0	nan	0.0	0.0	115.7	0	nan	25.9	51.7	311.6	29	0.64
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.68	2	Pocillopora_acuta_HIv2___RNAseq.g27406.t1	76099	76372	76373	77144	77145	77601	0.0	0.0	0.0	0	nan	31.8	0.0	8.3	25	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	33.1	51.0	0.0	0	1.00	32.2	28.4	26.8	0	1.00	68.6	62.5	51.6	0	1.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.76	3	Pocillopora_acuta_HIv2___RNAseq.g27690.t1	3912295	3912329	3912330	3912397	3912398	3912466	0.0	0.0	0.0	0	nan	49.9	0.0	54.0	49	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	51.3	0.0	49.5	53	0.00	66.7	0.1	78.3	66	0.00	24.0	32.7	42.6	0	1.00	0.0	0.0	0.0	0	nan	27.1	0.0	27.4	26	0.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.77	3	Pocillopora_acuta_HIv2___RNAseq.g27693.t1	3963509	3963595	3963596	3963944	3963945	3964231	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	108.4	20.5	72.4	93	0.18	0.0	0.0	0.0	0	nan	62.5	0.0	26.7	50	0.00	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.80	2	Pocillopora_acuta_HIv2___RNAseq.445_t	5072530	5072566	5072567	5072698	5072699	5072714	25.0	58.8	139.7	0	1.00	298.5	449.0	543.1	0	1.00	682.5	903.0	938.4	0	1.00	38.5	5.8	2.0	0	nan	317.9	396.3	444.8	0	1.00	383.9	269.2	345.8	79	0.77	313.9	371.1	421.1	0	1.00	381.7	417.3	581.9	0	1.00	322.3	434.6	574.4	0	1.00	270.2	290.6	362.2	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.82	2	Pocillopora_acuta_HIv2___TS.g10620.t1	5199677	5199726	5199727	5199881	5199882	5199952	0.0	0.0	0.0	0	nan	70.0	26.7	37.5	42	0.39	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	11.6	25.0	0	1.00	27.3	0.0	21.3	29	0.00	2.0	0.0	0.5	1	nan	65.0	0.0	49.3	60	0.00	0.0	0.0	0.0	0	nan	97.4	0.0	71.6	92	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.85	3	Pocillopora_acuta_HIv2___RNAseq.g27945.t1	6278846	6278941	6278942	6279081	6279082	6279192	0.0	0.0	0.0	0	nan	51.8	0.0	51.0	54	0.00	0.0	0.0	0.0	0	nan	7.3	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	69.2	23.8	46.1	42	0.36	77.9	0.0	64.5	65	0.00	0.0	0.0	0.0	0	nan	65.1	0.0	26.1	38	0.00	21.1	22.2	19.3	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.86	2	Pocillopora_acuta_HIv2___RNAseq.g28038.t1	7439515	7439707	7439708	7439951	7439952	7440090	18.5	52.5	0.0	0	1.00	15.7	30.3	63.2	22	0.58	12.3	116.9	126.1	0	1.00	38.9	205.5	218.7	0	1.00	87.6	153.6	61.3	0	1.00	3.7	1.2	0.0	0	nan	88.6	128.4	114.2	0	1.00	0.0	0.0	0.0	0	nan	4.1	5.5	0.0	0	nan	59.4	64.6	57.4	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.89	3	Pocillopora_acuta_HIv2___RNAseq.820_t	9665233	9665269	9665270	9665402	9665403	9665501	110.4	0.1	80.4	111	0.00	84.9	3.5	82.6	81	0.04	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	111.1	52.8	85.5	71	0.43	7.2	9.0	9.6	0	nan	65.1	0.0	69.4	71	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.90	2	Pocillopora_acuta_HIv2___RNAseq.g28214.t1	9691153	9691766	9691767	9692299	9692300	9692479	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	10.4	0.0	54.2	54	0.00	0.0	0.0	0.0	0	nan	41.4	0.4	0.0	0	nan	18.8	0.0	37.2	94	0.00	58.1	29.8	23.4	0	1.00	0.0	0.0	0.0	0	nan	41.3	0.2	0.0	0	nan	0.0	0.0	0.0	0	nan
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.92	3	Pocillopora_acuta_HIv2___RNAseq.g28409.t1	12079741	12079839	12079840	12080060	12080061	12080144	0.0	0.0	0.0	0	nan	31.7	0.0	20.6	29	0.00	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	138.3	45.9	134.4	83	0.36	0.0	0.0	0.0	0	nan	115.8	0.0	89.9	108	0.00	0.0	0.0	0.0	0	nan	105.6	0.0	88.8	97	0.00	110.9	0.0	100.7	99	0.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.93	2	Pocillopora_acuta_HIv2___RNAseq.g28451.t1	12513830	12513851	12513852	12514234	12514235	12514260	467.6	2090.3	1885.1	0	1.00	98.5	484.1	558.8	0	1.00	92.8	267.4	88.2	0	1.00	942.5	3192.8	3137.3	0	1.00	87.1	293.0	241.0	0	1.00	683.3	2535.2	2518.0	0	1.00	52.8	126.2	80.5	0	1.00	718.0	2576.1	2784.6	0	1.00	190.5	465.1	308.3	0	1.00	706.2	2984.0	3083.5	14	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.94	2	Pocillopora_acuta_HIv2___RNAseq.g28451.t1	12514877	12514946	12514947	12515153	12515154	12516627	1707.1	2241.2	1632.5	0	1.00	532.1	695.9	501.2	0	1.00	15.0	34.5	91.4	0	1.00	3030.8	3614.4	1766.3	0	1.00	253.8	327.4	240.5	0	1.00	2577.1	3326.9	1809.3	0	1.00	42.4	85.8	73.0	0	1.00	3013.6	4471.0	2095.2	0	1.00	292.8	399.0	258.6	0	1.00	3035.1	3668.7	3255.6	21	0.99
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.95	2	Pocillopora_acuta_HIv2___RNAseq.g28451.t1	12514877	12514969	12514970	12515785	12515786	12516627	1688.5	1696.0	1720.6	0	1.00	539.2	524.9	524.4	0	1.00	11.5	123.5	48.8	0	1.00	3059.0	2647.6	1328.9	0	1.00	252.8	254.6	247.9	0	1.00	2633.8	2652.0	1338.4	130	0.95	43.4	64.4	85.2	0	1.00	3136.1	3114.4	1653.0	0	1.00	298.0	257.9	292.2	0	1.00	3068.2	3485.2	3137.1	0	1.00
Pocillopora_acuta_HIv2___Sc0000000	-	intron_retention.98	2	Pocillopora_acuta_HIv2___TS.g11444.t1	15319635	15319744	15319745	15320206	15320207	15320254	0.0	0.0	0.0	0	nan	56.1	25.3	37.0	17	0.60	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan	21.7	4.3	0.0	0	nan	0.0	0.0	0.0	0	nan	1.7	0.0	0.0	0	nan	0.0	0.0	0.0	0	nan
