GO.ID	term	definition	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"GO:0097104"	"postsynaptic membrane assembly"	"The aggregation, arrangement and bonding together of a set of components to form a postsynaptic membrane, a specialized area of membrane facing the presynaptic membrane on the tip of the nerve ending and separated from it by a minute cleft (the synaptic cleft)."	"37.5% (3/8)"	0.002110815	2.68	"Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"	"Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"
"GO:0097105"	"presynaptic membrane assembly"	"The aggregation, arrangement and bonding together of a set of components to form a presynaptic membrane, including any proteins associated with the membrane, but excluding other cellular components. A presynaptic membrane is a specialized area of membrane of the axon terminal that faces the plasma membrane of the neuron or muscle fiber with which the axon terminal establishes a synaptic junction."	"33.333% (5/15)"	0.00011671	3.93	"Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"
"GO:0019755"	"one-carbon compound transport"	"The directed movement of one-carbon compounds into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	"30% (3/10)"	0.004292115	2.37	"Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g12304.t1;Pocillopora_acuta_HIv2___TS.g19887.t1"	"Pocillopora_acuta_HIv2___RNAseq.g28971.t1a;Pocillopora_acuta_HIv2___TS.g12304.t1;Pocillopora_acuta_HIv2___TS.g19887.t1"
"GO:1901888"	"regulation of cell junction assembly"	NA	"11.94% (16/134)"	0.002194072	2.66	"Pocillopora_acuta_HIv2___RNAseq.673_t;Pocillopora_acuta_HIv2___RNAseq.g12272.t1;Pocillopora_acuta_HIv2___RNAseq.g12278.t1;Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g18622.t1b;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"Pocillopora_acuta_HIv2___RNAseq.673_t;Pocillopora_acuta_HIv2___RNAseq.g12272.t1;Pocillopora_acuta_HIv2___RNAseq.g12278.t1;Pocillopora_acuta_HIv2___RNAseq.g24688.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1;Pocillopora_acuta_HIv2___RNAseq.g614.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g18622.t1b;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"
"GO:0097242"	"amyloid-beta clearance"	"The process in which amyloid-beta is removed from extracellular brain regions by mechanisms involving cell surface receptors."	"23.077% (3/13)"	0.009459176	2.02	"Pocillopora_acuta_HIv2___RNAseq.g8821.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"	"Pocillopora_acuta_HIv2___RNAseq.g8821.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"
"GO:1990708"	"conditioned place preference"	NA	"50% (3/6)"	0.0007945948	3.1	"Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g23391.t1"	"Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g23391.t1"
"GO:0060447"	"bud outgrowth involved in lung branching"	"The process in which a region of the lung epithelium initiates an outgrowth."	"60% (3/5)"	0.0004079179	3.39	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1"
"GO:0099560"	"synaptic membrane adhesion"	"The attachment of presynaptic membrane to postsynaptic membrane via adhesion molecules that are at least partially embedded in the plasma membrane."	"29.167% (7/24)"	1.282561e-05	4.89	"Pocillopora_acuta_HIv2___RNAseq.g12258.t1;Pocillopora_acuta_HIv2___RNAseq.g12281.t1;Pocillopora_acuta_HIv2___RNAseq.g805.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1;Pocillopora_acuta_HIv2___TS.g8259.t1b"	"Pocillopora_acuta_HIv2___RNAseq.g12258.t1;Pocillopora_acuta_HIv2___RNAseq.g12281.t1;Pocillopora_acuta_HIv2___RNAseq.g805.t1;Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1;Pocillopora_acuta_HIv2___TS.g8259.t1b"
"GO:0085029"	"extracellular matrix assembly"	"The aggregation, arrangement and bonding together of the extracellular matrix."	"18.75% (6/32)"	0.0007519746	3.12	"Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g14528.t1a;Pocillopora_acuta_HIv2___TS.g15832.t1"	"Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g14528.t1a;Pocillopora_acuta_HIv2___TS.g15832.t1"
"GO:0035988"	"chondrocyte proliferation"	"The multiplication or reproduction of chondrocytes by cell division, resulting in the expansion of their population. A chondrocyte is a polymorphic cell that forms cartilage."	"25% (3/12)"	0.007468328	2.13	"Pocillopora_acuta_HIv2___RNAseq.26508_t;Pocillopora_acuta_HIv2___RNAseq.g19284.t1;Pocillopora_acuta_HIv2___RNAseq.g24896.t1"	"Pocillopora_acuta_HIv2___RNAseq.26508_t;Pocillopora_acuta_HIv2___RNAseq.g19284.t1;Pocillopora_acuta_HIv2___RNAseq.g24896.t1"
"GO:0099545"	"trans-synaptic signaling by trans-synaptic complex"	"Cell-cell signaling between presynapse and postsynapse mediated by a trans-synaptic protein complex."	"25% (3/12)"	0.007468328	2.13	"Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"	"Pocillopora_acuta_HIv2___RNAseq.g9253.t1;Pocillopora_acuta_HIv2___TS.g30914.t1;Pocillopora_acuta_HIv2___TS.g3265.t1"
"GO:0044036"	"cell wall macromolecule metabolic process"	"The chemical reactions and pathways involving macromolecules forming, or destined to form, part of the cell wall. A cell wall is a rigid or semi-rigid envelope lying outside the cell membrane of plant, fungal and most prokaryotic cells, maintaining their shape and protecting them from osmotic lysis."	"37.5% (3/8)"	0.002110815	2.68	"Pocillopora_acuta_HIv2___RNAseq.g20718.t1;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1"	"Pocillopora_acuta_HIv2___RNAseq.g20718.t1;Pocillopora_acuta_HIv2___RNAseq.g28575.t1a;Pocillopora_acuta_HIv2___RNAseq.g28577.t1"
