GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"GO:0050427"	"3'-phosphoadenosine 5'-phosphosulfate metabolic process"	"The chemical reactions and pathways involving 3'-phosphoadenosine 5'-phosphosulfate, a naturally occurring mixed anhydride. It is an intermediate in the formation of a variety of sulfo compounds in biological systems."	"71.429% (5/7)"	3.584825e-05	4.45	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g12481.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g25759.t1;Pocillopora_acuta_HIv2___RNAseq.g9089.t1"	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g12481.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g25759.t1;Pocillopora_acuta_HIv2___RNAseq.g9089.t1"	"0% (0/7)"	1	0	NA	NA
"GO:0009208"	"pyrimidine ribonucleoside triphosphate metabolic process"	"The chemical reactions and pathways involving pyrimidine ribonucleoside triphosphate, a compound consisting of a pyrimidine base linked to a ribose sugar esterified with triphosphate on the sugar."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g11840.t1;Pocillopora_acuta_HIv2___RNAseq.g21884.t1;Pocillopora_acuta_HIv2___RNAseq.g3911.t1;Pocillopora_acuta_HIv2___TS.g19040.t1"	"Pocillopora_acuta_HIv2___RNAseq.g11840.t1;Pocillopora_acuta_HIv2___RNAseq.g21884.t1;Pocillopora_acuta_HIv2___RNAseq.g3911.t1;Pocillopora_acuta_HIv2___TS.g19040.t1"	"0% (0/12)"	1	0	NA	NA
"GO:0090276"	"regulation of peptide hormone secretion"	"Any process that modulates the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules."	"16.216% (12/74)"	0.006320648	2.2	"Pocillopora_acuta_HIv2___RNAseq.g14871.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g25689.t1;Pocillopora_acuta_HIv2___RNAseq.g25869.t1;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___RNAseq.g993.t1;Pocillopora_acuta_HIv2___RNAseq.g994.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"Pocillopora_acuta_HIv2___RNAseq.g14871.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g25689.t1;Pocillopora_acuta_HIv2___RNAseq.g25869.t1;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___RNAseq.g993.t1;Pocillopora_acuta_HIv2___RNAseq.g994.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"1.351% (1/74)"	0.9298641	0.03	NA	NA
"GO:0002088"	"lens development in camera-type eye"	"The process whose specific outcome is the progression of the lens over time, from its formation to the mature structure. The lens is a transparent structure in the eye through which light is focused onto the retina. An example of this process is found in Mus musculus."	"23.529% (8/34)"	0.002381352	2.62	"Pocillopora_acuta_HIv2___RNAseq.22067_t;Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g11345.t1;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g2995.t1;Pocillopora_acuta_HIv2___RNAseq.g3743.t1;Pocillopora_acuta_HIv2___RNAseq.g7553.t1;Pocillopora_acuta_HIv2___TS.g9752.t3"	"Pocillopora_acuta_HIv2___RNAseq.22067_t;Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g11345.t1;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g2995.t1;Pocillopora_acuta_HIv2___RNAseq.g3743.t1;Pocillopora_acuta_HIv2___RNAseq.g7553.t1;Pocillopora_acuta_HIv2___TS.g9752.t3"	"2.941% (1/34)"	0.7042715	0.15	NA	NA
"GO:0045956"	"positive regulation of calcium ion-dependent exocytosis"	"Any process that activates or increases the frequency, rate or extent of calcium ion-dependent exocytosis."	"33.333% (5/15)"	0.003147738	2.5	"Pocillopora_acuta_HIv2___RNAseq.30415_t;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c"	"Pocillopora_acuta_HIv2___RNAseq.30415_t;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c"	"6.667% (1/15)"	0.4154688	0.38	NA	NA
"GO:0009812"	"flavonoid metabolic process"	"The chemical reactions and pathways involving flavonoids, a group of water-soluble phenolic derivatives containing a flavan skeleton including flavones, flavonols and flavanoids, and anthocyanins."	"57.143% (4/7)"	0.0007887741	3.1	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g12481.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g9089.t1"	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g12481.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g9089.t1"	"0% (0/7)"	1	0	NA	NA
"GO:0060232"	"delamination"	"The process of negative regulation of cell adhesion that results in a cell or sheet of cells splitting off from an existing epithelial sheet."	"60% (3/5)"	0.003350763	2.47	"Pocillopora_acuta_HIv2___RNAseq.g14615.t1;Pocillopora_acuta_HIv2___RNAseq.g7833.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"Pocillopora_acuta_HIv2___RNAseq.g14615.t1;Pocillopora_acuta_HIv2___RNAseq.g7833.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"20% (1/5)"	0.1637988	0.79	NA	NA
"GO:0089718"	"amino acid import across plasma membrane"	"The directed movement of an amino acid from outside of a cell, across the plasma membrane and into the cytosol."	"50% (8/16)"	5.401292e-06	5.27	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g12410.t1;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g22644.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g1200.t1;Pocillopora_acuta_HIv2___RNAseq.g12410.t1;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g22644.t1;Pocillopora_acuta_HIv2___TS.g16482.t1;Pocillopora_acuta_HIv2___TS.g16484.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"0% (0/16)"	1	0	NA	NA
"GO:0060856"	"establishment of blood-brain barrier"	"Establishment of the barrier between the blood and the brain. The cells in the brain are packed tightly together preventing the passage of most molecules from the blood into the brain. Only lipid soluble molecules or those that are actively transported can pass through the blood-brain barrier."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g13060.t1;Pocillopora_acuta_HIv2___RNAseq.g21637.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g19097.t2"	"Pocillopora_acuta_HIv2___RNAseq.g13060.t1;Pocillopora_acuta_HIv2___RNAseq.g21637.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g19097.t2"	"8.333% (1/12)"	0.3491572	0.46	NA	NA
"GO:0016079"	"synaptic vesicle exocytosis"	"Fusion of intracellular membrane-bounded vesicles with the pre-synaptic membrane of the neuronal cell resulting in release of neurotransmitter into the synaptic cleft."	"20.69% (12/58)"	0.0007398748	3.13	"Pocillopora_acuta_HIv2___RNAseq.g12223.t1;Pocillopora_acuta_HIv2___RNAseq.g13403.t1;Pocillopora_acuta_HIv2___RNAseq.g26700.t1;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g30836.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c;Pocillopora_acuta_HIv2___RNAseq.g8004.t1;Pocillopora_acuta_HIv2___TS.g18947.t1;Pocillopora_acuta_HIv2___TS.g28908.t1;Pocillopora_acuta_HIv2___TS.g3024.t4"	"Pocillopora_acuta_HIv2___RNAseq.g12223.t1;Pocillopora_acuta_HIv2___RNAseq.g13403.t1;Pocillopora_acuta_HIv2___RNAseq.g26700.t1;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g30836.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c;Pocillopora_acuta_HIv2___RNAseq.g8004.t1;Pocillopora_acuta_HIv2___TS.g18947.t1;Pocillopora_acuta_HIv2___TS.g28908.t1;Pocillopora_acuta_HIv2___TS.g3024.t4"	"3.448% (2/58)"	0.6099293	0.21	NA	NA
"GO:0050802"	"circadian sleep/wake cycle, sleep"	"The part of the circadian sleep/wake cycle where the organism is asleep."	"31.579% (6/19)"	0.001659721	2.78	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g16948.t1;Pocillopora_acuta_HIv2___RNAseq.g18966.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g29275.t1"	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g16948.t1;Pocillopora_acuta_HIv2___RNAseq.g18966.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g29275.t1"	"0% (0/19)"	1	0	NA	NA
"GO:1902022"	"L-lysine transport"	NA	"71.429% (5/7)"	3.584825e-05	4.45	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g14744.t1;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g21527.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1"	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g14744.t1;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g21527.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1"	"0% (0/7)"	1	0	NA	NA
"GO:0071361"	"cellular response to ethanol"	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g30836.t1;Pocillopora_acuta_HIv2___RNAseq.g4959.t1;Pocillopora_acuta_HIv2___TS.g18947.t1"	"Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g30836.t1;Pocillopora_acuta_HIv2___RNAseq.g4959.t1;Pocillopora_acuta_HIv2___TS.g18947.t1"	"0% (0/12)"	1	0	NA	NA
"GO:1903352"	"L-ornithine transmembrane transport"	NA	"66.667% (4/6)"	0.0003585307	3.45	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"Pocillopora_acuta_HIv2___RNAseq.25384_t;Pocillopora_acuta_HIv2___RNAseq.g19152.t1;Pocillopora_acuta_HIv2___RNAseq.g25241.t1;Pocillopora_acuta_HIv2___TS.g5171.t1"	"0% (0/6)"	1	0	NA	NA
"GO:1903385"	"regulation of homophilic cell adhesion"	NA	"80% (4/5)"	0.0001267714	3.9	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"0% (0/5)"	1	0	NA	NA
"GO:0031290"	"retinal ganglion cell axon guidance"	"The process in which the migration of an axon growth cone of a retinal ganglion cell (RGC) is directed to its target in the brain in response to a combination of attractive and repulsive cues."	"50% (6/12)"	8.755999e-05	4.06	"Pocillopora_acuta_HIv2___RNAseq.665_t;Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1;Pocillopora_acuta_HIv2___TS.g24662.t1"	"Pocillopora_acuta_HIv2___RNAseq.665_t;Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1;Pocillopora_acuta_HIv2___TS.g24662.t1"	"16.667% (2/12)"	0.06439582	1.19	NA	NA
"GO:0061484"	"hematopoietic stem cell homeostasis"	"Any biological process involved in the maintenance of the steady-state number of hematopoietic stem cells within a population of cells."	"33.333% (4/12)"	0.008332095	2.08	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"0% (0/12)"	1	0	NA	NA
"GO:0034505"	"tooth mineralization"	"The process in which calcium salts are deposited into calcareous tooth structures such as dental enamel, dentin and cementum."	"36.842% (7/19)"	0.0002309452	3.64	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g12898.t1;Pocillopora_acuta_HIv2___RNAseq.g20688.t1;Pocillopora_acuta_HIv2___RNAseq.g6836.t1;Pocillopora_acuta_HIv2___RNAseq.g7241.t1;Pocillopora_acuta_HIv2___RNAseq.g7243.t1;Pocillopora_acuta_HIv2___RNAseq.g7248.t1"	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g12898.t1;Pocillopora_acuta_HIv2___RNAseq.g20688.t1;Pocillopora_acuta_HIv2___RNAseq.g6836.t1;Pocillopora_acuta_HIv2___RNAseq.g7241.t1;Pocillopora_acuta_HIv2___RNAseq.g7243.t1;Pocillopora_acuta_HIv2___RNAseq.g7248.t1"	"0% (0/19)"	1	0	NA	NA
"GO:0046314"	"phosphocreatine biosynthetic process"	"The chemical reactions and pathways resulting in the formation of phosphocreatine, a phosphagen of creatine which is synthesized and broken down by creatine phosphokinase."	"66.667% (4/6)"	0.0003585307	3.45	"Pocillopora_acuta_HIv2___RNAseq.g15574.t1;Pocillopora_acuta_HIv2___RNAseq.g15577.t1;Pocillopora_acuta_HIv2___RNAseq.g15584.t1;Pocillopora_acuta_HIv2___RNAseq.g2258.t1"	"Pocillopora_acuta_HIv2___RNAseq.g15574.t1;Pocillopora_acuta_HIv2___RNAseq.g15577.t1;Pocillopora_acuta_HIv2___RNAseq.g15584.t1;Pocillopora_acuta_HIv2___RNAseq.g2258.t1"	"0% (0/6)"	1	0	NA	NA
"GO:0042883"	"cysteine transport"	"The directed movement of cysteine into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	"44.444% (4/9)"	0.002525543	2.6	"Pocillopora_acuta_HIv2___RNAseq.g22644.t1;Pocillopora_acuta_HIv2___RNAseq.g7215.t1;Pocillopora_acuta_HIv2___RNAseq.g7217.t1;Pocillopora_acuta_HIv2___TS.g22105.t1"	"Pocillopora_acuta_HIv2___RNAseq.g22644.t1;Pocillopora_acuta_HIv2___RNAseq.g7215.t1;Pocillopora_acuta_HIv2___RNAseq.g7217.t1;Pocillopora_acuta_HIv2___TS.g22105.t1"	"0% (0/9)"	1	0	NA	NA
"GO:0007412"	"axon target recognition"	"The process in which an axon recognizes and binds to a set of cells with which it may form stable connections."	"55.556% (5/9)"	0.0001902677	3.72	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g28466.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g28466.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"0% (0/9)"	1	0	NA	NA
