"","GO.cluster","IC","GO.ID","term","definition","Oral_elim.genes_frequency","Oral_elim.pvalue","Oral_elim.-log10_pvalue","Oral_elim.Significant_genes","Oral_elim.Significant_genes_symbol","Aboral_elim.genes_frequency","Aboral_elim.pvalue","Aboral_elim.-log10_pvalue","Aboral_elim.Significant_genes","Aboral_elim.Significant_genes_symbol","Cluster.name"
"11","2",7.21,"GO:0001709","cell fate determination","The cellular developmental process involved in cell fate commitment that occurs after cell fate specification, in which a cell is irreversibly committed to a cellular developmental fate which is heritable on cell division.","6.452% (2/31)",0.6868999,0.16,NA,NA,"16.129% (5/31)",0.004072985,2.39,"Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___TS.g11002.t4","Protein Wnt-7a;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339);Protein jagged-1 (Jagged1) (CD antigen CD339);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]","Cluster 2: cell differentiation"
"12","2",8.76,"GO:0021781","glial cell fate commitment","The process in which the developmental fate of a cell becomes restricted such that it will develop into a glial cell.","11.111% (1/9)",0.5042862,0.3,NA,NA,"33.333% (3/9)",0.003040497,2.52,"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g942.t1;Pocillopora_acuta_HIv2___TS.g11002.t4","Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Homeobox protein Nkx-2.2a (Homeobox protein NK-2 homolog B-A);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]","Cluster 2: cell differentiation"
"13","2",8.98,"GO:0008594","photoreceptor cell morphogenesis","The process in which the structures of a photoreceptor cell are generated and organized. This process occurs while the initially relatively unspecialized cell is acquiring the specialized features of a photoreceptor cell, a sensory cell that reacts to the presence of light. An example of this is found in Drosophila melanogaster.","50% (4/8)",0.001717946,2.76,"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1","Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)","0% (0/8)",1,0,NA,NA,"Cluster 2: cell differentiation"
"14","2",9.27,"GO:0045467","R7 cell development","The process whose specific outcome is the progression of the R7 photoreceptor over time, from its formation to the mature structure. The R7 photoreceptor is the last photoreceptor to develop in the ommatidium.","66.667% (4/6)",0.0004159939,3.38,"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1","Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)","0% (0/6)",1,0,NA,NA,"Cluster 2: cell differentiation"
"15","2",7.56,"GO:0008347","glial cell migration","The orderly movement of a glial cell, non-neuronal cells that provide support and nutrition, maintain homeostasis, form myelin, and participate in signal transmission in the nervous system.","16.129% (5/31)",0.07842304,1.11,NA,NA,"19.355% (6/31)",0.0006128399,3.21,"Pocillopora_acuta_HIv2___RNAseq.g23886.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g28910.t1;Pocillopora_acuta_HIv2___RNAseq.g942.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g12453.t2","Laminin subunit beta-1 (Laminin B1 chain) (Laminin-1 subunit beta) (Laminin-10 subunit beta) (Laminin-12 subunit beta) (Laminin-2 subunit beta) (Laminin-6 subunit beta) (Laminin-8 subunit beta);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Matrilin-2;Homeobox protein Nkx-2.2a (Homeobox protein NK-2 homolog B-A);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Matrilin-2","Cluster 2: cell differentiation"
"16","2",8.57,"GO:0060856","establishment of blood-brain barrier","Establishment of the barrier between the blood and the brain. The cells in the brain are packed tightly together preventing the passage of most molecules from the blood into the brain. Only lipid soluble molecules or those that are actively transported can pass through the blood-brain barrier.","33.333% (4/12)",0.009533181,2.02,"Pocillopora_acuta_HIv2___RNAseq.g13060.t1;Pocillopora_acuta_HIv2___RNAseq.g21637.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g19097.t2","Low-density lipoprotein receptor-related protein 6 (LRP-6);Reversion-inducing cysteine-rich protein with Kazal motifs;Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7);Neurexin-4 (Neurexin IV)","8.333% (1/12)",0.3477365,0.46,NA,NA,"Cluster 2: cell differentiation"
"17","2",8.86,"GO:0021891","olfactory bulb interneuron development","The process whose specific outcome is the progression of an interneuron residing in the olfactory bulb, from its initial commitment, to the fully functional differentiated cell.","0% (0/8)",1,0,NA,NA,"37.5% (3/8)",0.002080615,2.68,"Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1","Roundabout homolog 2;Roundabout homolog 2;Roundabout homolog 1","Cluster 2: cell differentiation"
"18","3",8.35,"GO:0007297","follicle cell of egg chamber migration","The directed movement of an ovarian follicle cell that takes place during oogenesis. During egg chamber formation, follicle cells migrate to envelop the germ-line cysts and move in between cysts. At stage 10B, follicle cells migrate centripetally between the nurse cells and the oocyte, enclosing the anterior of the egg. An example of this is found in Drosophila melanogaster.","36.364% (4/11)",0.006750758,2.17,"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1","Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)","18.182% (2/11)",0.05441731,1.26,NA,NA,"Cluster 3: anatomical structure development"
"19","3",7.76,"GO:0030707","follicle cell of egg chamber development","The process that occurs during oogenesis involving the ovarian follicle cells, somatic cells which surround the germ cells of an ovary. An example of this is found in Drosophila melanogaster.","30.769% (4/13)",1,0,NA,NA,"23.077% (3/13)",0.009330015,2.03,"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g6576.t2","Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];LIM domain-containing protein jub","Cluster 3: anatomical structure development"
"20","3",9.11,"GO:0048808","male genitalia morphogenesis","The process in which the anatomical structures of male genitalia are generated and organized.","0% (0/7)",1,0,NA,NA,"42.857% (3/7)",0.001334843,2.87,"Pocillopora_acuta_HIv2___RNAseq.g2037.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4","Kelch-like protein 10;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein]","Cluster 3: anatomical structure development"
"21","3",9.27,"GO:0035846","oviduct epithelium development","The progression of the oviduct epithelium over time from its initial formation to the mature structure. An oviduct is a tube through which an ova passes from the ovary to the uterus, or from the ovary to the outside of the organism. The oviduct epithelium is the specialized epithelium that lines the oviduct.","0% (0/6)",1,0,NA,NA,"66.667% (4/6)",2.082297e-05,4.68,"Pocillopora_acuta_HIv2___RNAseq.g21562.t1;Pocillopora_acuta_HIv2___RNAseq.g8821.t1;Pocillopora_acuta_HIv2___RNAseq.g9085.t1;Pocillopora_acuta_HIv2___TS.g23391.t1","CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);Complement C3 [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc) (Neutrophil chemotactic factor-2) (ENCF-2); Complement C3 alpha chain; C3a anaphylatoxin (Neutrophil chemotactic factor-1) (ENCF-1); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2];CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1);CUB and sushi domain-containing protein 1 (CUB and sushi multiple domains protein 1)","Cluster 3: anatomical structure development"
"22","3",8.29,"GO:0060740","prostate gland epithelium morphogenesis","The process in which the anatomical structures of epithelia of the prostate gland are generated and organized. An epithelium consists of closely packed cells arranged in one or more layers, that covers the outer surfaces of the body or lines any internal cavity or tube.","8.333% (1/12)",0.6077395,0.22,NA,NA,"25% (3/12)",0.007365383,2.13,"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1","Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)","Cluster 3: anatomical structure development"
"23","3",9.45,"GO:0060739","mesenchymal-epithelial cell signaling involved in prostate gland development","Any process that mediates the transfer of information from a mesenchymal cell to an epithelial cell where it is received and interpreted contributing to the progression of the prostate gland over time.","20% (1/5)",0.3227936,0.49,NA,NA,"60% (3/5)",0.0004019195,3.4,"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1","Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C)","Cluster 3: anatomical structure development"
"24","3",7.42,"GO:0007476","imaginal disc-derived wing morphogenesis","The process in which the anatomical structures of the imaginal disc-derived wing are generated and organized. The wing is an appendage modified for flying.","4.348% (1/23)",0.8338318,0.08,NA,NA,"17.391% (4/23)",0.007674739,2.11,"Pocillopora_acuta_HIv2___RNAseq.g12374.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1","Tissue inhibitor of metalloproteinase;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]","Cluster 3: anatomical structure development"
