GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol
"GO:0050427"	"3'-phosphoadenosine 5'-phosphosulfate metabolic process"	"The chemical reactions and pathways involving 3'-phosphoadenosine 5'-phosphosulfate, a naturally occurring mixed anhydride. It is an intermediate in the formation of a variety of sulfo compounds in biological systems."	"85.714% (6/7)"	1.152521e-06	5.94	"Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g12481.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g25759.t1;Pocillopora_acuta_HIv2___RNAseq.g9089.t1;Pocillopora_acuta_HIv2___RNAseq.g9093.t1"	"Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1);Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase (PAPS synthase) (PAPS synthetase) (PAPSS) (Sulfurylase kinase) (SK) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)];Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1);Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1) (Sulfotransferase 1C2) (SULT1C#2)"
"GO:0009410"	"response to xenobiotic stimulus"	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus from a xenobiotic, a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."	"13.143% (23/175)"	0.005887881	2.23	"Pocillopora_acuta_HIv2___RNAseq.10010_t;Pocillopora_acuta_HIv2___RNAseq.10969_t;Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g12410.t1;Pocillopora_acuta_HIv2___RNAseq.g13552.t1;Pocillopora_acuta_HIv2___RNAseq.g15875.t1;Pocillopora_acuta_HIv2___RNAseq.g21538.t1;Pocillopora_acuta_HIv2___RNAseq.g21572.t1a;Pocillopora_acuta_HIv2___RNAseq.g2263.t1b;Pocillopora_acuta_HIv2___RNAseq.g23414.t1;Pocillopora_acuta_HIv2___RNAseq.g26743.t1;Pocillopora_acuta_HIv2___RNAseq.g27413.t1;Pocillopora_acuta_HIv2___RNAseq.g27673.t1;Pocillopora_acuta_HIv2___RNAseq.g28251.t1;Pocillopora_acuta_HIv2___RNAseq.g28270.t1;Pocillopora_acuta_HIv2___RNAseq.g3016.t1;Pocillopora_acuta_HIv2___RNAseq.g4399.t2;Pocillopora_acuta_HIv2___RNAseq.g5488.t1;Pocillopora_acuta_HIv2___RNAseq.g687.t1;Pocillopora_acuta_HIv2___RNAseq.g8849.t1;Pocillopora_acuta_HIv2___RNAseq.g9093.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___TS.g28867.t2"	"Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor);Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);Adenosine receptor A2a;Excitatory amino acid transporter 2 (GLT-1) (Sodium-dependent glutamate/aspartate transporter 2) (Solute carrier family 1 member 2);Voltage-gated potassium channel KCNC1 (NGK2) (Potassium voltage-gated channel subfamily C member 1) (Voltage-gated potassium channel subunit Kv3.1) (Voltage-gated potassium channel subunit Kv4);Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40);Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Endothelin-converting enzyme 1 (ECE-1) (EC 3.4.24.71);5-hydroxytryptamine receptor 1B (5-HT-1B) (5-HT1B) (Serotonin receptor 1B);Ceramide synthase 1 (CerS1) (Longevity assurance gene 1 protein homolog 1) (Protein UOG-1) (Sphingoid base N-stearoyltransferase CERS1) (EC 2.3.1.299);Gamma-aminobutyric acid receptor subunit beta-3 (GABA(A) receptor subunit beta-3) (GABAAR subunit beta-3);Paired box protein Pax-6 (Oculorhombin);Sodium- and chloride-dependent GABA transporter 1 (GAT-1) (Solute carrier family 6 member 1);Bcl-2 homologous antagonist/killer (Apoptosis regulator BAK);Carbamoyl-phosphate synthase [ammonia], mitochondrial (EC 6.3.4.16) (Carbamoyl-phosphate synthetase I) (CPSase I);Low-density lipoprotein receptor-related protein 8 (LRP-8) (Apolipoprotein E receptor 2);Cytochrome P450 1A1 (EC 1.14.14.1) (CYPIA1) (Cytochrome P450 form 6) (Cytochrome P450-C) (Cytochrome P450-P1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152);Ribitol 5-phosphate transferase FKRP (EC 2.7.8.-) (Fukutin-related protein) (Ribitol-5-phosphate transferase);2-haloacrylate reductase (EC 1.3.1.103);Sulfotransferase 1C4 (ST1C4) (EC 2.8.2.1) (Sulfotransferase 1C2) (SULT1C#2);Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor);Arsenite methyltransferase (EC 2.1.1.137) (Methylarsonite methyltransferase) (S-adenosyl-L-methionine:arsenic(III) methyltransferase)"
"GO:0014049"	"positive regulation of glutamate secretion"	"Any process that activates or increases the frequency, rate or extent of the controlled release of glutamate."	"50% (3/6)"	0.007099757	2.15	"Pocillopora_acuta_HIv2___RNAseq.g1217.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g8004.t1"	"Adenosine receptor A2a;Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1);Dysbindin (Biogenesis of lysosome-related organelles complex 1 subunit 8) (BLOC-1 subunit 8) (Dysbindin-1) (Dystrobrevin-binding protein 1) (Hermansky-Pudlak syndrome 7 protein) (HPS7 protein)"
"GO:0071361"	"cellular response to ethanol"	"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethanol stimulus."	"36.364% (4/11)"	0.006788097	2.17	"Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g30836.t1;Pocillopora_acuta_HIv2___RNAseq.g4959.t1;Pocillopora_acuta_HIv2___TS.g18947.t1"	"Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit);Spectrin beta chain, non-erythrocytic 2 (Beta SpIII sigma 1) (Beta-III spectrin) (Glutamate transporter EAAT4-associated protein 41) (SPNB-3) (Spectrin-like protein GTRAP41);Tumor protein p53-inducible nuclear protein 1 (Stress-induced protein) (Thymus-expressed acidic protein) (TEAP) (p53-dependent damage-inducible nuclear protein 1) (p53DINP1);Spectrin beta chain, non-erythrocytic 2 (Beta SpIII sigma 1) (Beta-III spectrin) (Glutamate transporter EAAT4-associated protein 41) (SPNB-3) (Spectrin-like protein GTRAP41)"
"GO:0090276"	"regulation of peptide hormone secretion"	"Any process that modulates the rate, frequency, or extent of the regulated release of a peptide hormone from secretory granules."	"17.333% (13/75)"	0.003554243	2.45	"Pocillopora_acuta_HIv2___RNAseq.10010_t;Pocillopora_acuta_HIv2___RNAseq.g14871.t1;Pocillopora_acuta_HIv2___RNAseq.g16957.t1;Pocillopora_acuta_HIv2___RNAseq.g19870.t1;Pocillopora_acuta_HIv2___RNAseq.g25869.t1;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g8093.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___RNAseq.g993.t1;Pocillopora_acuta_HIv2___RNAseq.g994.t1;Pocillopora_acuta_HIv2___TS.g15672.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor);Extracellular calcium-sensing receptor (CaSR) (Parathyroid cell calcium-sensing receptor) (PCaR1) (RaKCaR);Transcription factor SOX-4;Gamma-aminobutyric acid type B receptor subunit 1 (GABA-B receptor 1) (GABA-B-R1) (GABA-BR1) (GABABR1) (Gb1);DNA-binding protein RFX6 (Regulatory factor X 6);Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII);Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII);Chromodomain-helicase-DNA-binding protein 7 (CHD-7) (EC 3.6.4.-) (ATP-dependent helicase CHD7);Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor);Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34);Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34);Low-density lipoprotein receptor-related protein 5 (LRP-5) (Low-density lipoprotein receptor-related protein 7) (LRP-7);Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12) (ATP-binding cassette transporter 12) (ATP-binding cassette 12)"
"GO:0019228"	"neuronal action potential"	"An action potential that occurs in a neuron."	"21.875% (7/32)"	0.008389004	2.08	"Pocillopora_acuta_HIv2___RNAseq.10010_t;Pocillopora_acuta_HIv2___RNAseq.g18966.t1;Pocillopora_acuta_HIv2___RNAseq.g28741.t1;Pocillopora_acuta_HIv2___RNAseq.g29275.t1;Pocillopora_acuta_HIv2___RNAseq.g9466.t1;Pocillopora_acuta_HIv2___TS.g16172.t3;Pocillopora_acuta_HIv2___TS.g21128.t1"	"Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Transformation-sensitive protein p120) (p120) (Wasabi receptor);Potassium voltage-gated channel subfamily A member 2 (RAK) (RBK2) (RCK5) (Voltage-gated potassium channel subunit Kv1.2);Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit);Potassium voltage-gated channel subfamily A member 2 (KC22) (Voltage-gated potassium channel subunit Kv1.2);Transient receptor potential cation channel subfamily A member 1 (Ankyrin-like with transmembrane domains protein 1) (Wasabi receptor);Sodium channel protein 1 brain (Sodium channel protein I brain);Sodium channel protein type 4 subunit alpha B (Voltage-gated sodium channel subunit alpha Nav1.4b)"
"GO:0031290"	"retinal ganglion cell axon guidance"	"The process in which the migration of an axon growth cone of a retinal ganglion cell (RGC) is directed to its target in the brain in response to a combination of attractive and repulsive cues."	"50% (6/12)"	0.0001095244	3.96	"Pocillopora_acuta_HIv2___RNAseq.665_t;Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1;Pocillopora_acuta_HIv2___TS.g24662.t1"	"POU domain, class 4, transcription factor 3 (Brain-specific homeobox/POU domain protein 3C) (Brain-3C) (Brn-3C);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Neuronal cell adhesion molecule (Nr-CAM) (Ankyrin-binding cell adhesion molecule NrCAM) (Neuronal surface protein Bravo) (rBravo) (NgCAM-related cell adhesion molecule) (Ng-CAM-related)"
"GO:0045956"	"positive regulation of calcium ion-dependent exocytosis"	"Any process that activates or increases the frequency, rate or extent of calcium ion-dependent exocytosis."	"38.462% (5/13)"	0.00182167	2.74	"Pocillopora_acuta_HIv2___RNAseq.30415_t;Pocillopora_acuta_HIv2___RNAseq.g2827.t1;Pocillopora_acuta_HIv2___RNAseq.g28815.t1;Pocillopora_acuta_HIv2___RNAseq.g4028.t1;Pocillopora_acuta_HIv2___RNAseq.g4031.t1c"	"Synaptotagmin-10 (Synaptotagmin X) (SytX);Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII);Synaptotagmin-1 (Synaptotagmin I) (SytI);Synaptotagmin-7 (IPCA-7) (Prostate cancer-associated protein 7) (Synaptotagmin VII) (SytVII);Synaptotagmin-1 (Synaptotagmin I) (SytI)"
"GO:0061484"	"hematopoietic stem cell homeostasis"	"Any biological process involved in the maintenance of the steady-state number of hematopoietic stem cells within a population of cells."	"31.25% (5/16)"	0.005117109	2.29	"Pocillopora_acuta_HIv2___RNAseq.g12287.t1;Pocillopora_acuta_HIv2___RNAseq.g12289.t1;Pocillopora_acuta_HIv2___RNAseq.g16957.t1;Pocillopora_acuta_HIv2___RNAseq.g9334.t1;Pocillopora_acuta_HIv2___TS.g1768.t1"	"Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Transcription factor SOX-4;Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR);Tyrosine-protein phosphatase Lar (EC 3.1.3.48) (Protein-tyrosine-phosphate phosphohydrolase) (dLAR)"
"GO:0060232"	"delamination"	"The process of negative regulation of cell adhesion that results in a cell or sheet of cells splitting off from an existing epithelial sheet."	"60% (3/5)"	0.003759128	2.42	"Pocillopora_acuta_HIv2___RNAseq.g14615.t1;Pocillopora_acuta_HIv2___RNAseq.g7833.t1;Pocillopora_acuta_HIv2___TS.g27807.t1"	"Microtubule organization protein AKNA (AT-hook-containing transcription factor);N(6)-adenosine-methyltransferase catalytic subunit METTL3 (EC 2.1.1.348) (Methyltransferase-like protein 3) (hMETTL3) (N(6)-adenosine-methyltransferase 70 kDa subunit) (MT-A70);Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12) (ATP-binding cassette transporter 12) (ATP-binding cassette 12)"
