GO.cluster	IC	GO.ID	term	definition	Oral_elim.genes_frequency	Oral_elim.pvalue	Oral_elim.-log10_pvalue	Oral_elim.Significant_genes	Oral_elim.Significant_genes_symbol	Aboral_elim.genes_frequency	Aboral_elim.pvalue	Aboral_elim.-log10_pvalue	Aboral_elim.Significant_genes	Aboral_elim.Significant_genes_symbol
"2"	8.28	"GO:0048859"	"formation of anatomical boundary"	"The process in which the limits of an anatomical structure are generated. An anatomical structure is any biological entity that occupies space and is distinguished from its surroundings. Anatomical structures can be macroscopic such as a carpel, or microscopic such as an acrosome."	"16.667% (2/12)"	0.2262422	0.65	NA	NA	"25% (3/12)"	0.006897149	2.16	"Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g30706.t1"	"Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Cadherin-related tumor suppressor (Protein fat) [Cleaved into: Ft-mito]"
"2"	8.01	"GO:0036342"	"post-anal tail morphogenesis"	"The process in which a post-anal tail is generated and organized. A post-anal tail is a muscular region of the body that extends posterior to the anus. The post-anal tail may aid locomotion and balance."	"9.524% (2/21)"	0.4751187	0.32	NA	NA	"19.048% (4/21)"	0.005038905	2.3	"Pocillopora_acuta_HIv2___RNAseq.22092_t;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Carbohydrate sulfotransferase 11 (EC 2.8.2.5) (Chondroitin 4-O-sulfotransferase 1) (Chondroitin 4-sulfotransferase 1) (C4S-1) (C4ST-1) (C4ST1);Protein Wnt-8a;Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
"2"	8.22	"GO:0031128"	"developmental induction"	"A developmental process involving two tissues in which one tissue (the inducer) produces a signal that directs cell fate commitment of cells in the second tissue (the responder)."	"6.25% (1/16)"	0.7135057	0.15	NA	NA	"37.5% (6/16)"	0.005177571	2.29	"Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1"	"Protein Wnt-8a;Roundabout homolog 2;Roundabout homolog 2;Frizzled-5 (Fz-5);Frizzled-5 (Fz-5) (hFz5) (FzE5);Roundabout homolog 1"
"2"	7.72	"GO:1902742"	"apoptotic process involved in development"	NA	"15% (3/20)"	0.1863268	0.73	NA	NA	"20% (4/20)"	0.004190174	2.38	"Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g562.t1;Pocillopora_acuta_HIv2___RNAseq.g565.t1"	"Roundabout homolog 2;Roundabout homolog 2;Frizzled-5 (Fz-5);Frizzled-5 (Fz-5) (hFz5) (FzE5)"
"2"	6.55	"GO:0007498"	"mesoderm development"	"The process whose specific outcome is the progression of the mesoderm over time, from its formation to the mature structure. The mesoderm is the middle germ layer that develops into muscle, bone, cartilage, blood and connective tissue."	"4.412% (3/68)"	0.8942263	0.05	NA	NA	"10.294% (7/68)"	0.008250219	2.08	"Pocillopora_acuta_HIv2___RNAseq.7335_t;Pocillopora_acuta_HIv2___RNAseq.g27047.t1;Pocillopora_acuta_HIv2___RNAseq.g28226.t2;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___RNAseq.g8062.t1;Pocillopora_acuta_HIv2___TS.g11002.t4;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Nodal homolog (Nodal-related protein 1) (Xnr-1) (Xnr1) (nr-1);Protein Wnt-8a;Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Forkhead box protein C2-B (FoxC2-B) (FoxC2b) (Fork head domain-related protein 4') (FD-4') (xFD-4') (xFD4 B);Neurogenic locus Notch protein [Cleaved into: Processed neurogenic locus Notch protein];Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
"2"	6.19	"GO:0031099"	"regeneration"	"The regrowth of a lost or destroyed body part, such as an organ or tissue. This process may occur via renewal, repair, and/or growth alone (i.e. increase in size or mass)."	"9.735% (11/113)"	0.2273144	0.64	NA	NA	"14.159% (16/113)"	0.001613479	2.79	"Pocillopora_acuta_HIv2___RNAseq.10263_t;Pocillopora_acuta_HIv2___RNAseq.g12258.t1;Pocillopora_acuta_HIv2___RNAseq.g12281.t1;Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g27038.t1;Pocillopora_acuta_HIv2___RNAseq.g27039.t1;Pocillopora_acuta_HIv2___RNAseq.g28910.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___RNAseq.g9381.t1;Pocillopora_acuta_HIv2___TS.g12453.t2;Pocillopora_acuta_HIv2___TS.g18100.t1;Pocillopora_acuta_HIv2___TS.g18104.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Extracellular sulfatase Sulf-2 (hSulf-2) (Arylsulfatase) (EC 3.1.6.1) (N-acetylglucosamine-6-sulfatase) (EC 3.1.6.14) [Cleaved into: Extracellular sulfatase Sulf-2 secreted form];Receptor-type tyrosine-protein phosphatase S (R-PTP-S) (EC 3.1.3.48) (Chick receptor tyrosine phosphatase alpha) (CRYP alpha) (CRYPalpha);Receptor-type tyrosine-protein phosphatase F (EC 3.1.3.48) (Leukocyte common antigen related) (LAR);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Protein Wnt-7a;Protein Wnt-8b;Matrilin-2;Protein jagged-1 (Jagged1) (CD antigen CD339);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain];Matrilin-2;Protein Wnt-8b;Protein Wnt-8b;Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
"3"	8.11	"GO:0034505"	"tooth mineralization"	"The process in which calcium salts are deposited into calcareous tooth structures such as dental enamel, dentin and cementum."	"36.842% (7/19)"	0.0002957958	3.53	"Pocillopora_acuta_HIv2___RNAseq.26564_t;Pocillopora_acuta_HIv2___RNAseq.g12898.t1;Pocillopora_acuta_HIv2___RNAseq.g20688.t1;Pocillopora_acuta_HIv2___RNAseq.g6836.t1;Pocillopora_acuta_HIv2___RNAseq.g7241.t1;Pocillopora_acuta_HIv2___RNAseq.g7243.t1;Pocillopora_acuta_HIv2___RNAseq.g7248.t1"	"Transcription factor AP-2-alpha (AP2-alpha) (AP-2 transcription factor) (Activating enhancer-binding protein 2-alpha) (Activator protein 2) (AP-2);Sodium/potassium/calcium exchanger 4 (Na(+)/K(+)/Ca(2+)-exchange protein 4) (Solute carrier family 24 member 4);Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR);Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR);Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR);Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR);Thrombospondin-type laminin G domain and EAR repeat-containing protein (TSP-EAR)"	"0% (0/19)"	1	0	NA	NA
"3"	6.99	"GO:0030282"	"bone mineralization"	"The deposition of hydroxyapatite, a form of calcium phosphate with the formula Ca10(PO4)6(OH)2, in bone tissue."	"10.909% (6/55)"	0.2294202	0.64	NA	NA	"18.182% (10/55)"	1.39774e-05	4.85	"Pocillopora_acuta_HIv2___RNAseq.g14769.t1;Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g27337.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___RNAseq.g3780.t1;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1;Pocillopora_acuta_HIv2___TS.g23178.t1;Pocillopora_acuta_HIv2___TS.g5338.t1"	"Fibrillin-2 [Cleaved into: Placensin];Collagen alpha-2(I) chain (Alpha-2 type I collagen);Transcription factor HES-4 (Hairy and enhancer of split 4) (Protein hairy-2);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Protein kinase C-binding protein NELL1 (NEL-like protein 1);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-1(XXVII) chain B;Collagenase 3 (EC 3.4.24.-) (Matrix metalloproteinase-13) (MMP-13)"
"3"	6.72	"GO:0060411"	"cardiac septum morphogenesis"	"The process in which the anatomical structure of a cardiac septum is generated and organized. A cardiac septum is a partition that separates parts of the heart."	"5.66% (3/53)"	0.7711135	0.11	NA	NA	"11.321% (6/53)"	0.008997215	2.05	"Pocillopora_acuta_HIv2___RNAseq.g10385.t1;Pocillopora_acuta_HIv2___RNAseq.g29143.t2;Pocillopora_acuta_HIv2___RNAseq.g5181.t1;Pocillopora_acuta_HIv2___RNAseq.g5342.t1;Pocillopora_acuta_HIv2___RNAseq.g682.t1;Pocillopora_acuta_HIv2___RNAseq.g7895.t1"	"Fibroblast growth factor receptor-like 1 (FGF receptor-like protein 1) (FGF homologous factor receptor) (FGFR-like protein) (Fibroblast growth factor receptor 5) (FGFR-5);Roundabout homolog 2;Roundabout homolog 2;Protein jagged-1 (Jagged1) (hJ1) (CD antigen CD339);Roundabout homolog 1;Protein jagged-1 (Jagged1) (CD antigen CD339)"
"3"	7.37	"GO:0042475"	"odontogenesis of dentin-containing tooth"	"The process whose specific outcome is the progression of a dentin-containing tooth over time, from its formation to the mature structure. A dentin-containing tooth is a hard, bony organ borne on the jaw or other bone of a vertebrate, and is composed mainly of dentin, a dense calcified substance, covered by a layer of enamel."	"11.111% (4/36)"	0.2837669	0.55	NA	NA	"13.889% (5/36)"	0.007107692	2.15	"Pocillopora_acuta_HIv2___RNAseq.g21477.t1;Pocillopora_acuta_HIv2___RNAseq.g21479.t1;Pocillopora_acuta_HIv2___RNAseq.g21481.t1;Pocillopora_acuta_HIv2___RNAseq.g8914.t1;Pocillopora_acuta_HIv2___RNAseq.g8916.t1"	"Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Tenascin (TN) (Cytotactin) (GMEM) (GP 150-225) (Glioma-associated-extracellular matrix antigen) (Hexabrachion) (JI) (Myotendinous antigen) (Neuronectin) (Tenascin-C) (TN-C);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7);Low-density lipoprotein receptor-related protein 4 (LRP-4) (Multiple epidermal growth factor-like domains 7)"
"3"	8.49	"GO:0043589"	"skin morphogenesis"	"The process in which the anatomical structures of the skin are generated and organized. The skin is the external membranous integument of an animal. In vertebrates the skin generally consists of two layers, an outer nonsensitive and nonvascular epidermis (cuticle or skarfskin) composed of cells which are constantly growing and multiplying in the deeper, and being thrown off in the superficial layers, as well as an inner, sensitive and vascular dermis (cutis, corium or true skin) composed mostly of connective tissue."	"0% (0/13)"	1	0	NA	NA	"53.846% (7/13)"	7.297124e-08	7.14	"Pocillopora_acuta_HIv2___RNAseq.g26200.t1;Pocillopora_acuta_HIv2___RNAseq.g28794.t1;Pocillopora_acuta_HIv2___RNAseq.g28803.t1b;Pocillopora_acuta_HIv2___RNAseq.g802.t1;Pocillopora_acuta_HIv2___TS.g1350.t1;Pocillopora_acuta_HIv2___TS.g15832.t1;Pocillopora_acuta_HIv2___TS.g5006.t1b"	"Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Collagen alpha-2(I) chain (Alpha-2 type I collagen);Fibroblast growth factor receptor 1-A (FGFR-1-A) (bFGF-R-1-A) (EC 2.7.10.1) (Basic fibroblast growth factor receptor 1-A)"
