"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.432244219292584 4 46 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 1
0 0.306969656430094 4 18 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.0245670481046588 3 8 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 1
0 0.736903813093035 -1 31 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 0.348916497277184 2 128 "GO:0000302" "response to reactive oxygen species" 1
0 1 3 16 "GO:0000303;GO:0000305" "response to oxygen radical" 1
0 1 -1 5 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 1
0 0.332314923481001 2 13 "GO:0000338" "protein deneddylation" 1
0 0.846200363100932 7 11 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 0.999730929865268 5 63 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.249578413668095 3 33 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 11 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 1 7 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 1
0 0.870292747801318 2 12 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 1 2 5 "GO:0000395" "mRNA 5'-splice site recognition" 1
0 1 -1 5 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 1
0 0.896715449560322 2 32 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 1 3 9 "GO:0000423" "mitophagy" 1
0 1 2 12 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 7 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.92788268504192 2 35 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.891655757101879 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.783778725732419 2 9 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.985878017267771 2 25 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.993989682380944 -1 30 "GO:0000469" "obsolete cleavage involved in rRNA processing" 1
0 0.879935746521134 2 22 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.966843600268547 2 20 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 1
0 1 2 9 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.846200363100932 2 11 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 1
0 0.704901109388546 2 106 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 1
0 0.0526989668924373 2 6 "GO:0000706" "meiotic DNA double-strand break processing" 1
0 0.383286992546019 2 20 "GO:0000712;GO:0051307" "meiotic chromosome separation" 1
0 0.345090070280596 2 19 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 1
0 0.73931395568581 4 16 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.255328360718117 3 62 "GO:0000723;GO:0032200" "telomere organization" 1
0 0.575474813690458 6 65 "GO:0000724;GO:0000725" "double-strand break repair via homologous recombination" 1
0 0.491845691693697 -1 42 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 1
0 0.163673905058904 6 14 "GO:0000729" "DNA double-strand break processing" 1
0 0.0395286201323749 2 45 "GO:0000731;GO:0006301;GO:0019985" "DNA synthesis involved in DNA repair" 1
0 1 -1 5 "GO:0000738" "obsolete DNA catabolic process, exonucleolytic" 1
0 0.544165593634631 3 44 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 1
0 0.93048783183967 3 108 "GO:0000819;GO:0000070" "sister chromatid segregation" 1
0 0.947886944328926 -1 540 "GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0048667" "obsolete cell morphogenesis involved in differentiation" 1
0 0.73931395568581 3 16 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 1
0 0.696058796503147 3 7 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 1
0 0.532018911491297 2 11 "GO:0000920" "septum digestion after cytokinesis" 1
0 0.773320003892763 3 180 "GO:0000956;GO:0006402;GO:0006401;GO:0141188" "nucleic acid catabolic process" 1
0 0.132452440242127 4 13 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 0.109127953815272 3 42 "GO:0000966" "RNA 5'-end processing" 1
0 0.696058796503147 2 7 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 1
0 0.25668858027437 2 206 "GO:0001101" "response to acid chemical" 1
0 0.301248573404143 3 7 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "promoter clearance during DNA-templated transcription" 1
0 1 3 5 "GO:0001178;GO:0010630" "regulation of transcription, start site selection" 1
0 0.572802388675576 8 5 "GO:0001188" "RNA polymerase I preinitiation complex assembly" 1
0 0.176584756798344 -1 5 "GO:0001306;GO:0007571" "obsolete age-dependent response to oxidative stress" 1
0 0.396486512770124 2 200 "GO:0001501" "skeletal system development" 1
0 0.422528972620731 2 9 "GO:0001502;GO:0098743" "cell aggregation" 1
0 0.599426863038436 2 86 "GO:0001503" "ossification" 1
0 0.467659775856044 2 16 "GO:0001504" "neurotransmitter uptake" 1
0 0.53601521474893 -1 263 "GO:0001505" "obsolete regulation of neurotransmitter levels" 1
0 0.18950184186359 2 47 "GO:0001508" "action potential" 1
0 0.144484484824829 2 39 "GO:0001510" "RNA methylation" 1
0 0.301248573404143 5 7 "GO:0001514;GO:0006451" "translational readthrough" 1
0 0.185359566033865 2 25 "GO:0001516;GO:0046457;GO:0006636;GO:0019371" "unsaturated fatty acid biosynthetic process" 1
0 0.286192811964338 2 12 "GO:0001522" "pseudouridine synthesis" 1
0 0.465007045432952 8 41 "GO:0001523;GO:0016101;GO:0006721" "terpenoid metabolic process" 1
0 0.734372843062484 2 115 "GO:0001525" "angiogenesis" 1
0 0.824514673141448 2 43 "GO:0001541" "ovarian follicle development" 1
0 0.572802388675576 2 5 "GO:0001542" "ovulation from ovarian follicle" 1
0 1 2 6 "GO:0001553" "luteinization" 1
0 1 2 5 "GO:0001555" "oocyte growth" 1
0 0.667787269921323 3 14 "GO:0001556" "oocyte maturation" 1
0 0.994731208647163 4 259 "GO:0001558" "regulation of cell growth" 1
0 0.362991322096224 3 8 "GO:0001562;GO:0042832" "defense response to protozoan" 1
0 0.706740546782869 2 227 "GO:0001568;GO:0001944" "vasculature development" 1
0 0.197208308270686 2 15 "GO:0001569" "branching involved in blood vessel morphogenesis" 1
0 0.973668843401449 4 43 "GO:0001570" "vasculogenesis" 1
0 0.365300381848518 2 86 "GO:0001578;GO:0035082" "microtubule bundle formation" 1
0 0.324595918353139 4 30 "GO:0001649" "osteoblast differentiation" 1
0 0.450860943846478 5 541 "GO:0001654;GO:0007423" "sensory organ development" 1
0 0.755470612278536 2 212 "GO:0001655;GO:0072001" "urogenital system development" 1
0 0.575703956803605 2 32 "GO:0001656" "metanephros development" 1
0 0.926205744736508 4 52 "GO:0001657;GO:0072164;GO:0072163;GO:0001823" "mesonephric tubule development" 1
0 0.421203961672899 5 21 "GO:0001658" "branching involved in ureteric bud morphogenesis" 1
0 1 3 7 "GO:0001659" "temperature homeostasis" 1
0 0.62643307829045 3 13 "GO:0001662;GO:0002209;GO:0042596" "fear response" 1
0 0.924084428771283 3 224 "GO:0001666;GO:0036293;GO:0070482" "response to oxygen levels" 1
0 0.974150304088933 4 228 "GO:0001667" "ameboidal-type cell migration" 1
0 0.422528972620731 2 9 "GO:0001675" "acrosome assembly" 1
0 0.374864635626276 3 62 "GO:0001676" "long-chain fatty acid metabolic process" 1
0 0.645673631351536 2 55 "GO:0001678;GO:0071322;GO:0071326;GO:0071331;GO:0071333" "cellular response to carbohydrate stimulus" 1
0 1 7 7 "GO:0001682;GO:0099116" "tRNA 5'-end processing" 1
0 0.999999459767451 2 130 "GO:0001700" "embryonic development via the syncytial blastoderm" 1
0 0.328727371321132 3 219 "GO:0001701" "in utero embryonic development" 1
0 0.450785023860852 2 28 "GO:0001702" "gastrulation with mouth forming second" 1
0 0.414212147346251 3 33 "GO:0001703;GO:0010004" "gastrulation involving germ band extension" 1
0 0.971466891019483 2 95 "GO:0001704" "formation of primary germ layer" 1
0 0.997973327476709 4 50 "GO:0001706;GO:0035987" "endoderm formation" 1
0 0.952262067081211 2 73 "GO:0001707;GO:0048332" "mesoderm morphogenesis" 1
0 0.456824665447036 3 110 "GO:0001708" "cell fate specification" 1
0 0.985574460576815 3 119 "GO:0001709" "cell fate determination" 1
0 0.995730209611167 5 32 "GO:0001711" "endodermal cell fate commitment" 1
0 1 2 12 "GO:0001714" "endodermal cell fate specification" 1
0 0.817638412954602 7 10 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.980129741932858 2 23 "GO:0001737" "establishment of imaginal disc-derived wing hair orientation" 1
0 0.998595448482951 2 96 "GO:0001738;GO:0001736;GO:0007164" "morphogenesis of a polarized epithelium" 1
0 1 4 9 "GO:0001742;GO:0007438" "oenocyte development" 1
0 0.572802388675576 3 5 "GO:0001743" "lens placode formation" 1
0 0.176584756798344 2 5 "GO:0001746;GO:0055034" "Bolwig's organ morphogenesis" 1
0 0.951477129632622 3 81 "GO:0001751" "compound eye photoreceptor cell differentiation" 1
0 0.954334930945406 6 29 "GO:0001752;GO:0042706;GO:0046552" "photoreceptor cell fate commitment" 1
0 0.901142380211795 2 140 "GO:0001754;GO:0046530" "photoreceptor cell differentiation" 1
0 0.253244641650691 6 22 "GO:0001755;GO:0090497" "neural crest cell migration" 1
0 0.0906952641221148 2 51 "GO:0001756" "somitogenesis" 1
0 0.564203620387716 3 71 "GO:0001759;GO:0042473;GO:0021889;GO:0021891;GO:0060638;GO:0003347;GO:0007493;GO:0007500;GO:0007506;GO:0007522;GO:0007523;GO:0010571;GO:0010966;GO:0021553;GO:0021603;GO:0021627;GO:0021628;GO:0021762;GO:0021800;GO:0021823;GO:0021825;GO:0021827;GO:0022028;GO:0021837;GO:0035988;GO:0042065;GO:0042359;GO:0048378;GO:0060363;GO:0060385;GO:0060430;GO:0060449;GO:0060665;GO:0060693;GO:0060687;GO:0061144;GO:0061319;GO:0061320;GO:0070640;GO:0070857;GO:1904251;GO:0071698;GO:0071699;GO:0090080;GO:0090272;GO:1902178;GO:1903463;GO:1903465;GO:1904847;GO:1904849;GO:2000544;GO:2000546;GO:2000828;GO:2000830" "vitamin D metabolic process" 1
0 0.784065907251504 2 133 "GO:0001763;GO:0061138;GO:0048754" "morphogenesis of a branching structure" 1
0 0.592005068535496 4 79 "GO:0001764" "neuron migration" 1
0 0.890614386927224 4 13 "GO:0001773;GO:0043011;GO:0097028" "dendritic cell differentiation" 1
0 1 2 5 "GO:0001774;GO:0002269" "microglial cell activation" 1
0 0.971473542334366 2 471 "GO:0001775;GO:0045321" "cell activation" 1
0 0.773421498986016 2 25 "GO:0001776;GO:0002260" "leukocyte homeostasis" 1
0 0.922211916616511 2 15 "GO:0001782" "B cell homeostasis" 1
0 0.0817253476191834 2 7 "GO:0001783" "B cell apoptotic process" 1
0 0.92455576542717 2 60 "GO:0001816" "cytokine production" 1
0 0.748647736333211 2 218 "GO:0001817" "regulation of cytokine production" 1
0 0.920979134237446 2 91 "GO:0001818" "negative regulation of cytokine production" 1
0 0.58568453854104 2 118 "GO:0001819" "positive regulation of cytokine production" 1
0 0.583346179646931 4 157 "GO:0001822" "kidney development" 1
0 0.0345010172386042 3 54 "GO:0001824" "blastocyst development" 1
0 0.0968224050977188 2 21 "GO:0001825" "blastocyst formation" 1
0 0.028128616573483 2 12 "GO:0001829" "trophectodermal cell differentiation" 1
0 0.423582833563841 2 15 "GO:0001832" "blastocyst growth" 1
0 0.154609545260449 2 9 "GO:0001833" "inner cell mass cell proliferation" 1
0 0.667787269921323 2 14 "GO:0001836" "release of cytochrome c from mitochondria" 1
0 0.989488270040205 2 60 "GO:0001837" "epithelial to mesenchymal transition" 1
0 0.892930802774392 2 102 "GO:0001838;GO:0001841" "embryonic epithelial tube formation" 1
0 0.890614386927224 3 13 "GO:0001840;GO:0001839" "neural plate development" 1
0 0.860756933083726 3 76 "GO:0001843;GO:0060606;GO:0014020" "primary neural tube formation" 1
0 0.232582750297628 3 16 "GO:0001845" "phagolysosome assembly" 1
0 0.743639864275565 5 8 "GO:0001878" "response to yeast" 1
0 0.422528972620731 2 9 "GO:0001881" "receptor recycling" 1
0 0.306969656430094 5 18 "GO:0001885" "endothelial cell development" 1
0 0.176584756798344 3 5 "GO:0001887" "selenium compound metabolic process" 1
0 0.980722487821808 5 140 "GO:0001889;GO:0061008" "hepaticobiliary system development" 1
0 0.920979134237446 4 91 "GO:0001890" "placenta development" 1
0 0.984733433269139 2 57 "GO:0001892;GO:0060711" "embryonic placenta development" 1
0 0.37830792850521 2 14 "GO:0001893" "maternal placenta development" 1
0 0.937209230181694 2 117 "GO:0001894" "tissue homeostasis" 1
0 0.281533638442578 5 40 "GO:0001895;GO:0045494" "retina homeostasis" 1
0 0.890614386927224 2 13 "GO:0001906" "cell killing" 1
0 1 2 9 "GO:0001909" "leukocyte mediated cytotoxicity" 1
0 0.890614386927224 2 13 "GO:0001910" "regulation of leukocyte mediated cytotoxicity" 1
0 0.743639864275565 4 8 "GO:0001912" "positive regulation of leukocyte mediated cytotoxicity" 1
0 1 4 5 "GO:0001913" "T cell mediated cytotoxicity" 1
0 1 3 17 "GO:0001919" "regulation of receptor recycling" 1
0 1 5 11 "GO:0001921" "positive regulation of receptor recycling" 1
0 1 4 5 "GO:0001922" "B-1 B cell homeostasis" 1
0 0.889341524953864 2 321 "GO:0001933;GO:0042326;GO:0045936;GO:0010563" "negative regulation of phosphate metabolic process" 1
0 0.988222981440608 3 468 "GO:0001934;GO:0042327;GO:0045937;GO:0010562" "positive regulation of phosphate metabolic process" 1
0 0.581184131396689 2 12 "GO:0001935" "endothelial cell proliferation" 1
0 0.953780391564498 4 65 "GO:0001936;GO:0001938" "regulation of endothelial cell proliferation" 1
0 0.423582833563841 2 15 "GO:0001937" "negative regulation of endothelial cell proliferation" 1
0 0.581184131396689 2 12 "GO:0001941" "postsynaptic membrane organization" 1
0 0.975138686177848 3 71 "GO:0001942;GO:0022405;GO:0042633;GO:0098773" "hair cycle" 1
0 0.70535718320709 2 15 "GO:0001945" "lymph vessel development" 1
0 0.743639864275565 3 8 "GO:0001946;GO:0036303" "lymphangiogenesis" 1
0 0.635680080051167 2 68 "GO:0001947;GO:0003143" "embryonic heart tube morphogenesis" 1
0 0.980496641572916 4 55 "GO:0001952" "regulation of cell-matrix adhesion" 1
0 0.890614386927224 2 13 "GO:0001953" "negative regulation of cell-matrix adhesion" 1
0 0.908400452517545 7 24 "GO:0001954" "positive regulation of cell-matrix adhesion" 1
0 0.625736466963101 3 20 "GO:0001956" "positive regulation of neurotransmitter secretion" 1
0 0.89506281559256 4 23 "GO:0001958;GO:0036075" "endochondral ossification" 1
0 0.824514673141448 5 43 "GO:0001959;GO:0060759" "regulation of response to cytokine stimulus" 1
0 0.870292747801318 4 12 "GO:0001960;GO:0060761" "negative regulation of cytokine-mediated signaling pathway" 1
0 0.467659775856044 3 16 "GO:0001961;GO:0060760" "positive regulation of response to cytokine stimulus" 1
0 0.769867748384944 2 17 "GO:0001964" "startle response" 1
0 0.783778725732419 4 9 "GO:0001967" "suckling behavior" 1
0 0.163673905058904 2 14 "GO:0001974" "blood vessel remodeling" 1
0 0.870292747801318 2 12 "GO:0001975" "response to amphetamine" 1
0 0.581184131396689 2 12 "GO:0001991;GO:0002002;GO:0002003" "regulation of systemic arterial blood pressure by circulatory renin-angiotensin" 1
0 0.783778725732419 7 9 "GO:0001998;GO:0002034;GO:0003072;GO:0003100;GO:0032464;GO:0090324;GO:0097498" "negative regulation of oxidative phosphorylation" 1
0 0.999960200278632 3 612 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 0.783332888070335 2 48 "GO:0002011" "morphogenesis of an epithelial sheet" 1
0 1 3 6 "GO:0002021" "response to dietary excess" 1
0 0.625736466963101 5 20 "GO:0002026" "regulation of the force of heart contraction" 1
0 0.473424834368199 2 35 "GO:0002027" "regulation of heart rate" 1
0 0.660689300838896 6 42 "GO:0002028" "regulation of sodium ion transport" 1
0 0.0388418914627965 5 9 "GO:0002029;GO:0022401" "negative adaptation of signaling pathway" 1
0 1 4 9 "GO:0002036;GO:0010958;GO:1903789" "regulation of amino acid transmembrane transport" 1
0 0.200634039652153 3 31 "GO:0002040" "sprouting angiogenesis" 1
0 0.362991322096224 2 8 "GO:0002042" "cell migration involved in sprouting angiogenesis" 1
0 0.332314923481001 3 13 "GO:0002052" "positive regulation of neuroblast proliferation" 1
0 0.410496622087495 6 39 "GO:0002053;GO:0010464" "regulation of mesenchymal cell proliferation" 1
0 0.636568785246725 2 41 "GO:0002062" "chondrocyte differentiation" 1
0 0.240643372319419 2 11 "GO:0002063" "chondrocyte development" 1
0 0.997285586911941 4 330 "GO:0002064;GO:0002065;GO:0002066" "epithelial cell development" 1
0 0.726809440720665 2 45 "GO:0002067" "glandular epithelial cell differentiation" 1
0 1 2 9 "GO:0002070" "epithelial cell maturation" 1
0 0.479041540732774 3 10 "GO:0002072" "optic cup morphogenesis involved in camera-type eye development" 1
0 0.743639864275565 2 8 "GO:0002087;GO:0044065" "regulation of respiratory system process" 1
0 0.890097927951124 2 48 "GO:0002088" "lens development in camera-type eye" 1
0 0.920137752824634 4 25 "GO:0002089;GO:0055062;GO:0072505;GO:0072506" "phosphate ion homeostasis" 1
0 1 5 25 "GO:0002090" "regulation of receptor internalization" 1
0 1 2 15 "GO:0002092" "positive regulation of receptor internalization" 1
0 0.890614386927224 2 13 "GO:0002093;GO:0060088" "auditory receptor cell morphogenesis" 1
0 0.743639864275565 2 8 "GO:0002097;GO:0002098" "tRNA wobble base modification" 1
0 0.0388418914627965 3 9 "GO:0002118;GO:0002121" "aggressive behavior" 1
0 0.981402645978707 2 218 "GO:0002119" "nematode larval development" 1
0 0.988807408306103 3 301 "GO:0002164" "larval development" 1
0 0.991376104962951 2 335 "GO:0002165;GO:0009886;GO:0007552;GO:0048707" "instar larval or pupal development" 1
0 0.761428517098388 2 54 "GO:0002168" "instar larval development" 1
0 0.9999969425347 6 91 "GO:0002181" "cytoplasmic translation" 1
0 0.907754934389216 4 14 "GO:0002183" "cytoplasmic translational initiation" 1
0 0.985649034065723 2 37 "GO:0002200;GO:0002562;GO:0016444" "somatic diversification of immune receptors" 1
0 0.870292747801318 2 12 "GO:0002204;GO:0002208;GO:0002381;GO:0045190" "immunoglobulin production involved in immunoglobulin-mediated immune response" 1
0 0.968470044494246 4 60 "GO:0002218;GO:0002758" "activation of innate immune response" 1
0 0.939491296622802 2 27 "GO:0002220" "innate immune response activating cell surface receptor signaling pathway" 1
0 0.970032470389419 2 42 "GO:0002221;GO:0002224" "pattern recognition receptor signaling pathway" 1
0 0.659825217844801 3 21 "GO:0002223;GO:1990858;GO:1990840" "cellular response to lectin" 1
0 1 2 11 "GO:0002225;GO:0002760" "positive regulation of antimicrobial peptide production" 1
0 0.362991322096224 5 8 "GO:0002227;GO:1900157;GO:1900159;GO:1902732;GO:2001205" "regulation of bone mineralization involved in bone maturation" 1
0 1 3 5 "GO:0002228;GO:0042267" "natural killer cell mediated immunity" 1
0 0.846200363100932 2 11 "GO:0002230" "positive regulation of defense response to virus by host" 1
0 0.562786581732619 4 149 "GO:0002237;GO:0032496" "response to molecule of bacterial origin" 1
0 1 2 5 "GO:0002238" "response to molecule of fungal origin" 1
0 0.241824474843219 2 44 "GO:0002244" "hematopoietic progenitor cell differentiation" 1
0 0.853845718829939 3 45 "GO:0002250;GO:0002460" "adaptive immune response" 1
0 0.37830792850521 3 14 "GO:0002251;GO:0002385" "organ or tissue specific immune response" 1
0 0.997868680834159 2 417 "GO:0002252" "immune effector process" 1
0 0.99489017510227 5 130 "GO:0002253;GO:0002757;GO:0002764" "activation of immune response" 1
0 0.196573611875368 2 53 "GO:0002262;GO:0030218;GO:0034101" "myeloid cell homeostasis" 1
0 0.984627727676676 2 340 "GO:0002263;GO:0002274;GO:0002275;GO:0002366;GO:0002283;GO:0042119;GO:0036230;GO:0002443;GO:0002444;GO:0002446;GO:0043299;GO:0043312" "cell activation involved in immune response" 1
0 0.790595862580393 3 41 "GO:0002285" "lymphocyte activation involved in immune response" 1
0 0.769867748384944 2 17 "GO:0002286" "T cell activation involved in immune response" 1
0 0.332314923481001 5 13 "GO:0002287;GO:0002292;GO:0002293;GO:0002294;GO:0043367;GO:0035710;GO:0042093" "CD4-positive, alpha-beta T cell activation" 1
0 0.748348809417731 4 24 "GO:0002312" "B cell activation involved in immune response" 1
0 0.581184131396689 2 12 "GO:0002313;GO:0002335" "mature B cell differentiation" 1
0 0.743639864275565 3 8 "GO:0002315" "marginal zone B cell differentiation" 1
0 0.696058796503147 3 7 "GO:0002320" "lymphoid progenitor cell differentiation" 1
0 1 7 5 "GO:0002327" "immature B cell differentiation" 1
0 0.870292747801318 3 12 "GO:0002360" "T cell lineage commitment" 1
0 0.696058796503147 4 7 "GO:0002363" "alpha-beta T cell lineage commitment" 1
0 0.973978317700159 4 96 "GO:0002429;GO:0002768" "immune response-regulating cell surface receptor signaling pathway" 1
0 0.96592452162655 2 41 "GO:0002431;GO:0002433;GO:0038094;GO:0038096" "immune response-regulating cell surface receptor signaling pathway involved in phagocytosis" 1
0 0.639657336060432 3 6 "GO:0002437" "inflammatory response to antigenic stimulus" 1
0 0.939491296622802 5 27 "GO:0002440;GO:0002377" "production of molecular mediator of immune response" 1
0 0.896715449560322 2 32 "GO:0002449" "lymphocyte mediated immunity" 1
0 0.532018911491297 3 11 "GO:0002456" "T cell mediated immunity" 1
0 0.639657336060432 3 6 "GO:0002467" "germinal center formation" 1
0 1 4 21 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 0.997385183416804 4 60 "GO:0002478;GO:0019884;GO:0048002" "antigen processing and presentation of peptide antigen" 1
0 1 6 12 "GO:0002479;GO:0042590" "antigen processing and presentation of exogenous peptide antigen via MHC class I" 1
0 0.99495066837321 3 44 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide or polysaccharide antigen via MHC class II" 1
0 0.999197480616895 2 378 "GO:0002520;GO:0030097;GO:0048534" "immune system development" 1
0 0.778301938917103 2 160 "GO:0002521;GO:1903131" "leukocyte differentiation" 1
0 0.639657336060432 2 6 "GO:0002523" "leukocyte migration involved in inflammatory response" 1
0 0.200634039652153 5 31 "GO:0002526" "acute inflammatory response" 1
0 0.966843600268547 2 20 "GO:0002532" "production of molecular mediator involved in inflammatory response" 1
0 0.422528972620731 3 9 "GO:0002538;GO:0002540;GO:0035655;GO:0070673;GO:0071351" "arachidonate metabolite production involved in inflammatory response" 1
0 0.857145318758628 2 53 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.465007045432952 4 41 "GO:0002576" "platelet degranulation" 1
0 0.572802388675576 2 5 "GO:0002577" "regulation of antigen processing and presentation" 1
0 0.639657336060432 3 6 "GO:0002634" "regulation of germinal center formation" 1
0 0.384617966746442 6 26 "GO:0002637" "regulation of immunoglobulin production" 1
