"","hit_name","NonDE_Oral","DE_Oral","Background","p_value_Oral","padj_Oral","DE_ratio_Oral","Background_ratio_Oral","enrichment_ratio_Oral","NonDE_Aboral","DE_Aboral","p_value_Aboral","padj_Aboral","DE_ratio_Aboral","Background_ratio_Aboral","enrichment_ratio_Aboral","nonDE_Oral","nonDE_Aboral"
"22","Amino acid permease",10,5,15,0.00460459065190528,0.142176092495838,0.00589622641509434,0.00139262835391329,4.23388364779874,13,2,0.0950632825364802,0.190797491309706,0.00530503978779841,0.00139262835391329,3.80937223695844,8,8
"23","C-terminus of AA_permease",2,3,5,0.00430950003665178,0.142176092495838,0.0035377358490566,0.000464209451304429,7.62099056603774,4,1,0.163205524874824,0.24975390927814,0.0026525198938992,0.000464209451304429,5.71405835543767,1,1
"24","Helix-loop-helix DNA-binding domain",28,8,36,0.00594484531628367,0.142176092495838,0.00943396226415094,0.00334230804939189,2.8225890985325,32,4,0.036016897420622,0.109131199184485,0.0106100795755968,0.00334230804939189,3.17447686413204,24,24
"25","Homeodomain",40,10,50,0.00493140808527426,0.142176092495838,0.0117924528301887,0.00464209451304429,2.54033018867925,41,9,5.0310154294078e-05,0.00056459173152243,0.0238726790450928,0.00464209451304429,5.1426525198939,31,31
"26","NAD binding domain of 6-phosphogluconate dehydrogenase",0,2,2,0.006191666177458,0.142176092495838,0.00235849056603774,0.000185683780521771,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"27","Neurotransmitter-gated ion-channel ligand binding domain",16,6,22,0.00583471340456901,0.142176092495838,0.00707547169811321,0.00204252158573949,3.46408662092624,NA,0,NA,1,0,NA,0,16,16
"28","Pyridoxal-dependent decarboxylase, C-terminal sheet domain",0,2,2,0.006191666177458,0.142176092495838,0.00235849056603774,0.000185683780521771,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"29","Pyridoxal-dependent decarboxylase, pyridoxal binding domain",0,2,2,0.006191666177458,0.142176092495838,0.00235849056603774,0.000185683780521771,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"30","Tachylectin",0,2,2,0.006191666177458,0.142176092495838,0.00235849056603774,0.000185683780521771,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"31","von Willebrand factor type D domain",16,6,22,0.00583471340456901,0.142176092495838,0.00707547169811321,0.00204252158573949,3.46408662092624,15,7,6.58573604693845e-06,0.000103666191347003,0.0185676392572944,0.00204252158573949,9.09054738365083,9,9
"32","7 transmembrane receptor (rhodopsin family)",137,22,159,0.00661323876376114,0.145284589091378,0.0259433962264151,0.0147618605514808,1.75746113682212,150,9,0.105863895659439,0.198004693733395,0.0238726790450928,0.0147618605514808,1.61718632701066,128,128
"33","Filamin/ABP280 repeat",23,7,30,0.00748283380349896,0.154718593054699,0.00825471698113208,0.00278525670782657,2.96371855345912,NA,0,NA,1,0,NA,0,23,23
"34","RING-type zinc-finger",17,6,23,0.00737814774396132,0.154718593054699,0.00707547169811321,0.00213536347600037,3.31347415914684,NA,0,NA,1,0,NA,0,17,17
"35","CLN3 protein",3,3,6,0.00811591426208484,0.15848577017349,0.0035377358490566,0.000557051341565314,6.35082547169811,NA,0,NA,1,0,NA,0,3,3
"36","REJ domain",7,4,11,0.00803619679470984,0.15848577017349,0.00471698113207547,0.00102126079286974,4.61878216123499,NA,0,NA,1,0,NA,0,7,7
"37","Coagulation Factor Xa inhibitory site",24,7,31,0.00902376453200967,0.165760442890827,0.00825471698113208,0.00287809859808746,2.86811472915399,20,11,3.76868482923887e-09,1.90318583876563e-07,0.0291777188328912,0.00287809859808746,10.1378454693249,13,13
"38","Complement Clr-like EGF-like",18,6,24,0.00919581404373007,0.165760442890827,0.00707547169811321,0.00222820536626126,3.17541273584906,18,6,0.000139168789107419,0.00136026268063058,0.0159151193633952,0.00222820536626126,7.14257294429708,12,12
"39","Low-density lipoprotein receptor repeat class B",18,6,24,0.00919581404373007,0.165760442890827,0.00707547169811321,0.00222820536626126,3.17541273584906,21,3,0.0499734468493612,0.14342355141553,0.00795755968169761,0.00222820536626126,3.57128647214854,15,15
"40","'Paired box' domain",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"41","6-phosphogluconate dehydrogenase, C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"42","8-oxoguanine DNA glycosylase, N-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"43","ACT domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"44","AFG1-like ATPase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"45","ARD/ARD' family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"46","ATP-binding dynein motor region",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"47","ATP-sulfurylase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"48","ATP:guanido phosphotransferase, N-terminal domain",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"49","Adenomatosis polyposis coli down-regulated 1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"50","Adenylylsulphate kinase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"51","Alternative oxidase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"52","Amino-transferase class IV",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"53","Ammonium Transporter Family",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"54","Anaphase-promoting complex subunit 4 WD40 domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"55","Animal haem peroxidase",5,3,8,0.0201651291644994,0.232550990872628,0.0035377358490566,0.000742735122087086,4.76311910377358,NA,0,NA,1,0,NA,0,5,5
"56","Avidin family",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"57","BPM/SPOP, BACK domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"58","Biogenesis of lysosome-related organelles complex-1 subunit 2",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"59","Biopterin-dependent aromatic amino acid hydroxylase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"60","CBL proto-oncogene N-terminal domain 1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"61","CBL proto-oncogene N-terminus, EF hand-like domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"62","CBL proto-oncogene N-terminus, SH2-like domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"63","CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"64","CEMIP beta-helix",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"65","CENP-A nucleosome associated complex (NAC) subunit",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"66","CIP2A, N-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"67","CLIC-like N-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"68","CST, complex subunit STN1, C terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"69","CTP synthase N-terminus",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"70","Cadherin domain",17,4,21,0.0780115554479395,0.232550990872628,0.00471698113207547,0.0019496796954786,2.41936208445642,16,5,0.000654653900443952,0.00508615722652609,0.013262599469496,0.0019496796954786,6.80245042314008,12,12
"71","Calx-beta domain",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"72","Carboxymuconolactone decarboxylase family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"73","Cell cycle regulated microtubule associated protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"74","Centromere kinetochore component CENP-T histone fold",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"75","Chaperone of endosialidase",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,2,1,0.101380845217368,0.190797491309706,0.0026525198938992,0.000278525670782657,9.52343059239611,0,0
"76","Chromodomain-helicase-DNA-binding protein 6-9, tri-helical",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"77","Cilia- and flagella-associated protein 54",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"78","Ciliary rootlet component, centrosome cohesion",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"79","Concanavalin A-like lectin/glucanases superfamily",29,7,36,0.0203536465277801,0.232550990872628,0.00825471698113208,0.00334230804939189,2.46976546121593,33,3,0.130470104267706,0.223618258772941,0.00795755968169761,0.00334230804939189,2.38085764809903,26,26
"80","D-arabinono-1,4-lactone oxidase",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"81","D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"82","D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"83","DE-cadherin, Ig-like domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"84","DENR, N-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"85","DNA polymerase III, delta subunit",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"86","DNA replication licensing factor MCM7, winged helix",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"87","DOR family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"88","DPCD protein family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"89","DUF218 domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"90","Death domain",56,11,67,0.0148095205702644,0.232550990872628,0.0129716981132075,0.00622040664747934,2.08534567727401,NA,0,NA,1,0,NA,0,56,56
"91","Dermatopontin",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"92","Diacylglycerol kinase N-terminus",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"93","Domain of unknown function (DUF3504)",4,3,7,0.0133773581705329,0.232550990872628,0.0035377358490566,0.0006498932318262,5.44356469002695,6,1,0.220787193345001,0.312609904595959,0.0026525198938992,0.0006498932318262,4.08147025388405,3,3
"94","Domain of unknown function (DUF4472)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"95","Domain of unknown function (DUF4505)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"96","Domain of unknown function (DUF4508)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"97","Dynein axonemal heavy chain 2/5/8 coiled-coil",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"98","Dynein heavy chain AAA lid domain",14,4,18,0.0480038419076874,0.232550990872628,0.00471698113207547,0.00167115402469594,2.8225890985325,NA,0,NA,1,0,NA,0,14,14
"99","Dynein heavy chain C-terminal domain",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"100","Dynein heavy chain region D6 P-loop domain",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"101","Dynein heavy chain, N-terminal region 1",5,3,8,0.0201651291644994,0.232550990872628,0.0035377358490566,0.000742735122087086,4.76311910377358,NA,0,NA,1,0,NA,0,5,5
"102","Dynein heavy chain, N-terminal region 2",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"103","ELMO, armadillo-like helical domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"104","ETF-QO, ubiquinone-binding",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"105","Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"106","Endonuclease/Exonuclease/phosphatase family",20,5,25,0.042388427650726,0.232550990872628,0.00589622641509434,0.00232104725652214,2.54033018867925,NA,0,NA,1,0,NA,0,20,20
"107","Eukaryotic Pus10, N-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"108","Eukaryotic translation initiation factor 3 subunit G",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"109","FAD binding domain",10,4,14,0.0201642649219123,0.232550990872628,0.00471698113207547,0.0012997864636524,3.62904312668464,NA,0,NA,1,0,NA,0,10,10
"110","FAM47 family",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"111","Fatty acid desaturase",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"112","Flagellar-associated PapD-like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"113","Flavodoxin",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"114","Formin Homology Region 1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"115","Fukutin-related protein stem domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"116","G8 domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"117","GDA1/CD39 (nucleoside phosphatase) family",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"118","Gasdermin pore forming domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"119","Glutamine amidotransferase class-I",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"120","Glycosyl-hydrolase family 116, catalytic region",2,2,4,0.0333732273777953,0.232550990872628,0.00235849056603774,0.000371367561043543,6.35082547169811,NA,0,NA,1,0,NA,0,2,2
"121","Glyoxalase domain-containing protein 4, N-terminal",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"122","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"123","Glyoxalasedomain-containing protein 4-like, C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"124","Gpi16 subunit, GPI transamidase component",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"125","Green fluorescent protein",1,2,3,0.0176021784773774,0.232550990872628,0.00235849056603774,0.000278525670782657,8.46776729559748,NA,0,NA,1,0,NA,0,1,1
"126","HMG (high mobility group) box",20,5,25,0.042388427650726,0.232550990872628,0.00589622641509434,0.00232104725652214,2.54033018867925,NA,0,NA,1,0,NA,0,20,20
"127","HYR domain",6,3,9,0.0285049492540854,0.232550990872628,0.0035377358490566,0.000835577012347971,4.23388364779874,NA,0,NA,1,0,NA,0,6,6
"128","Hedgehog signalling target",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"129","High-temperature-induced dauer-formation protein",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"130","Hydrolytic ATP binding site of dynein motor region",13,4,17,0.0397321086721156,0.232550990872628,0.00471698113207547,0.00157831213443506,2.98862375138735,NA,0,NA,1,0,NA,0,13,13
"131","Inosine-uridine preferring nucleoside hydrolase",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"132","Inositol hexakisphosphate",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"133","Interferon-induced transmembrane protein",3,2,5,0.0527490456052243,0.232550990872628,0.00235849056603774,0.000464209451304429,5.08066037735849,NA,0,NA,1,0,NA,0,3,3
"134","Ion transport protein",67,11,78,0.0411186726529141,0.232550990872628,0.0129716981132075,0.00724166744034909,1.79125846637639,NA,0,NA,1,0,NA,0,67,67
"135","Jumping translocation breakpoint protein (JTB)",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"136","KANSL3, helical domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"137","Kinetochore protein Mis14 like",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"138","LKB1 serine/threonine kinase interacting protein 1",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"139","Leucine Rich repeat",16,4,20,0.0671602326069606,0.232550990872628,0.00471698113207547,0.00185683780521771,2.54033018867925,NA,0,NA,1,0,NA,0,16,16
"140","Ligand-gated ion channel",9,3,12,0.0625845033103453,0.232550990872628,0.0035377358490566,0.00111410268313063,3.17541273584906,NA,0,NA,1,0,NA,0,9,9
"141","MCM N-terminal domain",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
"142","MCM5, C-terminal domain",0,1,1,0.078729922941231,0.232550990872628,0.00117924528301887,9.28418902608857e-05,12.7016509433962,NA,0,NA,1,0,NA,0,0,0
"143","MFS/sugar transport protein",6,3,9,0.0285049492540854,0.232550990872628,0.0035377358490566,0.000835577012347971,4.23388364779874,NA,0,NA,1,0,NA,0,6,6
"144","MFS_1 like family",4,2,6,0.0750656112767939,0.232550990872628,0.00235849056603774,0.000557051341565314,4.23388364779874,NA,0,NA,1,0,NA,0,4,4
